,home_player,home_RBI,away_team,games_played,home_AB,home_BB,home_K
0,Ben Rice,0.0,NYM,1,2.0,0.0,0.0
1,Aaron Judge,0.0,NYM,1,2.0,0.0,1.0
2,Cody Bellinger,0.0,NYM,1,2.0,0.0,1.0
3,Paul Goldschmidt,0.0,NYM,1,2.0,0.0,1.0
4,Jasson Dominguez,0.0,NYM,1,2.0,0.0,0.0
5,Anthony Volpe,0.0,NYM,1,1.0,0.0,0.0
6,J.C. Escarra,0.0,NYM,1,1.0,0.0,0.0
7,DJ LeMahieu,1.0,NYM,1,1.0,0.0,0.0
8,Jorbit Vivas,0.0,LAA,1,1.0,0.0,0.0
9,,1.0,LAA,1,14.0,0.0,3.0
10,Austin Wells,1.0,MIL,1,3.0,1.0,1.0
11,Aaron Judge,1.0,MIL,1,4.0,0.0,2.0
12,Cody Bellinger,1.0,STL,1,2.0,1.0,1.0
13,Paul Goldschmidt,0.0,MIL,1,4.0,0.0,2.0
14,Jazz Chisholm Jr.,0.0,MIL,1,3.0,1.0,2.0
15,Jasson Dominguez,0.0,MIL,1,3.0,0.0,0.0
16,Trent Grisham,0.0,MIL,1,1.0,0.0,0.0
17,Anthony Volpe,1.0,MIL,1,4.0,0.0,1.0
18,Ben Rice,0.0,MIL,1,2.0,1.0,1.0
19,Oswaldo Cabrera,0.0,MIL,1,3.0,0.0,0.0
20,,4.0,MIL,1,29.0,4.0,10.0
21,,,MIL,1,,,
22,Bo Bichette,0.0,BAL,1,4.0,0.0,0.0
23,Vladimir Guerrero Jr.,0.0,BAL,1,2.0,2.0,1.0
24,Anthony Santander,0.0,BAL,1,4.0,0.0,0.0
25,Andres Gimenez,2.0,BAL,1,3.0,1.0,0.0
26,Alejandro Kirk,0.0,BAL,1,4.0,0.0,0.0
27,George Springer,0.0,BAL,1,3.0,1.0,2.0
28,Will Wagner,0.0,BAL,1,3.0,0.0,0.0
29,Ernie Clement,0.0,BAL,1,3.0,0.0,0.0
30,Alan Roden,0.0,BAL,1,2.0,1.0,0.0
31,,2.0,BAL,1,28.0,5.0,3.0
32,,,BAL,1,,,
33,,,BAL,1,,,
34,CJ Abrams,1.0,PHI,1,5.0,0.0,2.0
35,James Wood,0.0,PHI,1,3.0,1.0,1.0
36,Luis Garcia Jr.,1.0,PHI,1,4.0,0.0,1.0
37,Josh Bell,0.0,PHI,1,4.0,0.0,1.0
38,Nathaniel Lowe,0.0,PHI,1,4.0,0.0,3.0
39,Paul DeJong,0.0,PHI,1,4.0,0.0,4.0
40,Keibert Ruiz,1.0,PHI,1,4.0,0.0,0.0
