,player,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over
0,Aaron Judge,0.47368421052631576,0.24561403508771928,0.14035087719298245,0.03508771929824561
1,Adam Frazier,0.22727272727272727,0.022727272727272728,0.0,0.0
2,Adley Rutschman,0.2391304347826087,0.08695652173913043,0.021739130434782608,0.0
3,Adolis Garcia,0.4153846153846154,0.18461538461538463,0.07692307692307693,0.0
4,Alec Burleson,0.3333333333333333,0.09523809523809523,0.023809523809523808,0.0
5,Alejandro Kirk,0.37777777777777777,0.17777777777777778,0.044444444444444446,0.0
6,Alex Bregman,0.4339622641509434,0.18867924528301888,0.11320754716981132,0.0
7,Alex Verdugo,0.2826086956521739,0.08695652173913043,0.0,0.0
8,Andres Gimenez,0.2978723404255319,0.0851063829787234,0.0,0.0
9,Andrew Benintendi,0.4358974358974359,0.1282051282051282,0.07692307692307693,0.02564102564102564
10,Andrew McCutchen,0.34375,0.09375,0.0625,0.0
11,Andy Ibanez,0.21052631578947367,0.13157894736842105,0.02631578947368421,0.0
12,Andy Pages,0.38095238095238093,0.14285714285714285,0.09523809523809523,0.023809523809523808
13,Anthony Santander,0.4489795918367347,0.22448979591836735,0.08163265306122448,0.02040816326530612
14,Anthony Volpe,0.3793103448275862,0.15517241379310345,0.06896551724137931,0.0
15,Austin Wells,0.4375,0.10416666666666667,0.08333333333333333,0.041666666666666664
16,Ben Rice,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.047619047619047616
17,Bo Naylor,0.3170731707317073,0.07317073170731707,0.04878048780487805,0.0
18,Bobby Witt Jr.,0.45454545454545453,0.16666666666666666,0.09090909090909091,0.030303030303030304
19,Brandon Lowe,0.3829787234042553,0.23404255319148937,0.0425531914893617,0.0
20,Brandon Nimmo,0.3064516129032258,0.0967741935483871,0.016129032258064516,0.0
21,Brayan Rocchio,0.2222222222222222,0.044444444444444446,0.022222222222222223,0.0
22,Brendan Donovan,0.4,0.17777777777777778,0.044444444444444446,0.0
23,Brendan Rodgers,0.2727272727272727,0.15151515151515152,0.030303030303030304,0.0
24,Brent Rooker,0.5185185185185185,0.2037037037037037,0.037037037037037035,0.0
25,Brenton Doyle,0.45714285714285713,0.2,0.08571428571428572,0.08571428571428572
26,Brooks Baldwin,0.32432432432432434,0.02702702702702703,0.0,0.0
27,Bryan Reynolds,0.35714285714285715,0.16666666666666666,0.0,0.0
28,Bryce Harper,0.46875,0.1875,0.0,0.0
29,Bryson Stott,0.30303030303030304,0.09090909090909091,0.030303030303030304,0.0
30,Byron Buxton,0.4375,0.21875,0.09375,0.03125
31,CJ Abrams,0.48717948717948717,0.05128205128205128,0.02564102564102564,0.0
32,Carlos Santana,0.3541666666666667,0.125,0.041666666666666664,0.0
33,Ceddanne Rafaela,0.2727272727272727,0.18181818181818182,0.06818181818181818,0.022727272727272728
34,Cedric Mullins,0.3404255319148936,0.1276595744680851,0.0851063829787234,0.0425531914893617
35,Christopher Morel,0.275,0.075,0.05,0.0
36,Colton Cowser,0.3055555555555556,0.16666666666666666,0.08333333333333333,0.027777777777777776
37,Corey Seager,0.3902439024390244,0.14634146341463414,0.04878048780487805,0.024390243902439025
38,Daniel Schneemann,0.29411764705882354,0.058823529411764705,0.029411764705882353,0.029411764705882353
39,Danny Jansen,0.21875,0.0,0.0,0.0
40,Dansby Swanson,0.3283582089552239,0.1044776119402985,0.05970149253731343,0.014925373134328358
41,Daulton Varsho,0.3225806451612903,0.1935483870967742,0.0967741935483871,0.03225806451612903
42,Davis Schneider,0.15151515151515152,0.09090909090909091,0.0,0.0
43,Donovan Solano,0.18181818181818182,0.06818181818181818,0.022727272727272728,0.022727272727272728
44,Dylan Crews,0.1875,0.0625,0.03125,0.03125
45,Dylan Moore,0.27906976744186046,0.046511627906976744,0.023255813953488372,0.0
46,Elias Diaz,0.18421052631578946,0.07894736842105263,0.0,0.0
47,Elly De La Cruz,0.4,0.2,0.12,0.06
48,Emmanuel Rivera,0.25,0.125,0.0625,0.03125
49,Ernie Clement,0.3333333333333333,0.12280701754385964,0.05263157894736842,0.017543859649122806
50,Francisco Lindor,0.42105263157894735,0.14035087719298245,0.05263157894736842,0.0
51,Freddie Freeman,0.4666666666666667,0.24444444444444444,0.13333333333333333,0.06666666666666667
52,Freddy Fermin,0.22916666666666666,0.041666666666666664,0.020833333333333332,0.0
53,Garrett Mitchell,0.21739130434782608,0.021739130434782608,0.021739130434782608,0.0
54,Gavin Sheets,0.25,0.11363636363636363,0.06818181818181818,0.045454545454545456
55,George Springer,0.25,0.125,0.08333333333333333,0.0
56,Geraldo Perdomo,0.3333333333333333,0.125,0.020833333333333332,0.0
57,Gleyber Torres,0.4074074074074074,0.16666666666666666,0.09259259259259259,0.018518518518518517
58,Gunnar Henderson,0.3157894736842105,0.15789473684210525,0.02631578947368421,0.0
59,Harrison Bader,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.0
60,Heliot Ramos,0.3333333333333333,0.11904761904761904,0.023809523809523808,0.0
61,Ian Happ,0.3389830508474576,0.15254237288135594,0.03389830508474576,0.01694915254237288
62,Isaac Paredes,0.30434782608695654,0.10869565217391304,0.06521739130434782,0.043478260869565216
63,JJ Bleday,0.2962962962962963,0.1111111111111111,0.037037037037037035,0.018518518518518517
64,Jackson Chourio,0.4,0.21818181818181817,0.07272727272727272,0.05454545454545454
65,Jackson Holliday,0.275,0.1,0.05,0.05
