team,Rank
Seattle Mariners,1
Cleveland Guardians,2
New York Mets,3
Houston Astros,4
Detroit Tigers,5
New York Yankees,6
Los Angeles Dodgers,7
Atlanta Braves,8
Tampa Bay Rays,9
Milwaukee Brewers,10
San Diego Padres,11
Baltimore Orioles,12
Cincinnati Reds,13
Chicago Cubs,14
Kansas City Royals,15
Toronto Blue Jays,16
Texas Rangers,17
Minnesota Twins,18
Los Angeles Angels,19
San Francisco Giants,20
Philadelphia Phillies,21
Boston Red Sox,22
St. Louis Cardinals,23
Pittsburgh Pirates,24
Oakland Athletics,25
Chicago White Sox,26
Washington Nationals,27
Miami Marlins,28
Arizona Diamondbacks,29
Colorado Rockies,30
