,player,hits,team,def_rank,games_played,1_hits_count,2_hits_count,3_hits_count,4_hits_count
0,Francisco Lindor,0.0,NYY,6.0,1,0,0,0,0
1,Ben Rice,1.0,NYM,3.0,1,1,0,0,0
2,Juan Soto,1.0,NYY,6.0,1,1,0,0,0
3,Aaron Judge,0.0,NYY,6.0,1,0,0,0,0
4,Pete Alonso,1.0,CHC,14.0,1,1,0,0,0
5,Cody Bellinger,1.0,NYM,3.0,1,1,0,0,0
6,Paul Goldschmidt,0.0,NYM,3.0,1,0,0,0,0
7,Mark Vientos,0.0,NYY,6.0,1,0,0,0,0
8,Jasson Dominguez,2.0,NYM,3.0,1,1,1,0,0
9,Jeff McNeil,0.0,NYY,6.0,1,0,0,0,0
10,Anthony Volpe,1.0,NYM,3.0,1,1,0,0,0
11,Luis Torrens,1.0,NYY,6.0,1,1,0,0,0
12,DJ LeMahieu,2.0,NYM,3.0,1,1,1,0,0
13,Brett Baty,0.0,NYY,6.0,1,0,0,0,0
14,Taylor Ward,1.0,SEA,1.0,1,1,0,0,0
15,Pete Crow-Armstrong,1.0,DET,5.0,1,1,0,0,0
16,Colt Keith,2.0,CHC,14.0,1,1,1,0,0
17,Miguel Vargas,0.0,HOU,4.0,1,0,0,0,0
18,Seiya Suzuki,0.0,MIL,10.0,1,0,0,0,0
19,Elvis Peguero,0.0,CHC,14.0,1,0,0,0,0
20,Luis Robert Jr.,0.0,CHC,14.0,1,0,0,0,0
21,Andrew Vaughn,0.0,CHC,14.0,1,0,0,0,0
22,J.T. Realmuto,0.0,CHC,14.0,1,0,0,0,0
23,Joshua Palacios,0.0,CHC,14.0,1,0,0,0,0
24,Bo Bichette,0.0,DET,5.0,1,0,0,0,0
25,Vladimir Guerrero Jr.,0.0,NYY,6.0,1,0,0,0,0
26,Daulton Varsho,0.0,DET,5.0,1,0,0,0,0
27,George Springer,0.0,DET,5.0,1,0,0,0,0
28,Addison Barger,0.0,DET,5.0,1,0,0,0,0
29,Ernie Clement,0.0,DET,5.0,1,0,0,0,0
30,Nathan Lukes,0.0,DET,5.0,1,0,0,0,0
31,Tyler Heineman,0.0,CHC,14.0,1,0,0,0,0
32,Michael Stefanic,0.0,DET,5.0,1,0,0,0,0
33,Bo Bichette,0.0,HOU,4.0,1,0,0,0,0
34,Spencer Horwitz,1.0,HOU,4.0,1,1,0,0,0
35,Justin Turner,0.0,HOU,4.0,1,0,0,0,0
36,Yordan Alvarez,1.0,SEA,1.0,1,1,0,0,0
37,George Springer,1.0,TBR,9.0,1,1,0,0,0
38,Daulton Varsho,0.0,HOU,4.0,1,0,0,0,0
39,Alejandro Kirk,0.0,HOU,4.0,1,0,0,0,0
40,Davis Schneider,0.0,HOU,4.0,1,0,0,0,0
41,Ernie Clement,2.0,HOU,4.0,1,1,1,0,0
42,Kevin Kiermaier,0.0,HOU,4.0,1,0,0,0,0
43,Chas McCormick,0.0,LAD,7.0,1,0,0,0,0
44,Addison Barger,0.0,HOU,4.0,1,0,0,0,0
45,CJ Abrams,1.0,NYM,3.0,1,1,0,0,0
46,Harrison Bader,2.0,CLE,2.0,1,1,1,0,0
47,Lane Thomas,1.0,NYM,3.0,1,1,0,0,0
48,Harold Ramirez,1.0,NYM,3.0,1,1,0,0,0
49,Pete Alonso,1.0,NYM,3.0,1,1,0,0,0
50,Jesse Winker,1.0,NYM,3.0,1,1,0,0,0
51,Joey Meneses,2.0,NYM,3.0,1,1,1,0,0
52,Ildemaro Vargas,1.0,HOU,4.0,1,1,0,0,0
53,Keibert Ruiz,3.0,NYM,3.0,1,1,1,1,0
54,Drew Millas,0.0,NYM,3.0,1,0,0,0,0
55,Nick Senzel,0.0,NYM,3.0,1,0,0,0,0
56,Luis Garcia Jr.,0.0,NYM,3.0,1,0,0,0,0
57,Jacob Young,0.0,NYM,3.0,1,0,0,0,0
58,Charlie Blackmon,2.0,MIL,10.0,1,1,1,0,0
59,Willy Adames,3.0,SDP,11.0,1,1,1,1,0
60,Ezequiel Tovar,0.0,MIL,10.0,1,0,0,0,0
61,Ryan McMahon,1.0,MIL,10.0,1,1,0,0,0
62,Elias Diaz,1.0,MIL,10.0,1,1,0,0,0
63,Brendan Rodgers,2.0,MIL,10.0,1,1,1,0,0
64,Aaron Schunk,0.0,MIL,10.0,1,0,0,0,0
65,Michael Toglia,0.0,MIL,10.0,1,0,0,0,0
66,Brenton Doyle,3.0,MIL,10.0,1,1,1,1,0
67,Nolan Jones,2.0,MIL,10.0,1,1,1,0,0
68,Jake Cave,2.0,MIL,10.0,1,1,1,0,0
69,Jarren Duran,1.0,NYY,6.0,1,1,0,0,0
70,Rafael Devers,2.0,NYY,6.0,1,1,1,0,0
71,Dominic Smith,1.0,BAL,12.0,1,1,0,0,0
72,Emmanuel Rivera,2.0,CIN,13.0,1,1,1,0,0
73,Luis Robert Jr.,2.0,CLE,2.0,1,1,1,0,0
74,Andrew Benintendi,0.0,CLE,2.0,1,0,0,0,0
75,Andrew Vaughn,1.0,CLE,2.0,1,1,0,0,0
76,Gavin Sheets,0.0,CLE,2.0,1,0,0,0,0
77,Eloy Jimenez,1.0,CLE,2.0,1,1,0,0,0
78,David Fry,0.0,BAL,12.0,1,0,0,0,0
79,Corey Julks,0.0,CLE,2.0,1,0,0,0,0
80,Paul DeJong,1.0,CLE,2.0,1,1,0,0,0
81,Tyler Freeman,2.0,KCR,15.0,1,1,1,0,0
82,Nicky Lopez,1.0,CLE,2.0,1,1,0,0,0
83,Lenyn Sosa,2.0,CLE,2.0,1,1,1,0,0
84,Korey Lee,1.0,CLE,2.0,1,1,0,0,0
85,Tommy Pham,0.0,CLE,2.0,1,0,0,0,0
86,Martin Maldonado,0.0,CLE,2.0,1,0,0,0,0
87,Oneil Cruz,0.0,TBR,9.0,1,0,0,0,0
88,Connor Joe,1.0,MIL,10.0,1,1,0,0,0
89,CJ Abrams,2.0,NYM,3.0,1,1,1,0,0
90,Lane Thomas,0.0,NYM,3.0,1,0,0,0,0
91,Harold Ramirez,0.0,NYM,3.0,1,0,0,0,0
92,Harrison Bader,0.0,CLE,2.0,1,0,0,0,0
93,Jesse Winker,0.0,NYM,3.0,1,0,0,0,0
94,Joey Meneses,1.0,HOU,4.0,1,1,0,0,0
95,Mark Vientos,2.0,NYM,3.0,1,1,1,0,0
96,Ildemaro Vargas,0.0,NYM,3.0,1,0,0,0,0
97,James Wood,0.0,NYM,3.0,1,0,0,0,0
98,Keibert Ruiz,1.0,NYM,3.0,1,1,0,0,0
99,Luis Garcia Jr.,0.0,NYM,3.0,1,0,0,0,0
100,Jacob Young,1.0,NYM,3.0,1,1,0,0,0
101,Anthony Volpe,0.0,CIN,13.0,1,0,0,0,0
102,Juan Soto,0.0,CIN,13.0,1,0,0,0,0
103,Jonathan India,0.0,NYY,6.0,1,0,0,0,0
104,Aaron Judge,3.0,CIN,13.0,1,1,1,1,0
105,Elly De La Cruz,2.0,NYY,6.0,1,1,1,0,0
106,Alex Verdugo,0.0,CIN,13.0,1,0,0,0,0
107,Jeimer Candelario,1.0,NYY,6.0,1,1,0,0,0
108,Gleyber Torres,1.0,CIN,13.0,1,1,0,0,0
109,Spencer Steer,1.0,NYY,6.0,1,1,0,0,0
110,Ben Rice,1.0,CIN,13.0,1,1,0,0,0
111,Tyler Stephenson,0.0,NYY,6.0,1,0,0,0,0
112,DJ LeMahieu,0.0,CIN,13.0,1,0,0,0,0
113,Nick Martini,0.0,NYY,6.0,1,0,0,0,0
114,Trent Grisham,1.0,CIN,13.0,1,1,0,0,0
115,Noelvi Marte,0.0,NYY,6.0,1,0,0,0,0
116,Jose Trevino,0.0,CIN,13.0,1,0,0,0,0
117,Stuart Fairchild,0.0,NYY,6.0,1,0,0,0,0
118,Austin Wells,0.0,CIN,13.0,1,0,0,0,0
119,Will Benson,1.0,NYY,6.0,1,1,0,0,0
120,Bo Bichette,0.0,HOU,4.0,1,0,0,0,0
121,Spencer Horwitz,1.0,HOU,4.0,1,1,0,0,0
122,Vladimir Guerrero Jr.,1.0,HOU,4.0,1,1,0,0,0
123,Justin Turner,1.0,TBR,9.0,1,1,0,0,0
124,Yandy Diaz,0.0,SEA,1.0,1,0,0,0,0
125,George Springer,1.0,HOU,4.0,1,1,0,0,0
126,Daulton Varsho,0.0,HOU,4.0,1,0,0,0,0
127,Ernie Clement,1.0,HOU,4.0,1,1,0,0,0
128,Addison Barger,1.0,HOU,4.0,1,1,0,0,0
129,Kevin Kiermaier,0.0,HOU,4.0,1,0,0,0,0
130,Trey Cabbage,0.0,LAD,7.0,1,0,0,0,0
131,Jarred Kelenic,1.0,ATL,8.0,1,1,0,0,0
132,Jorge Soler,1.0,ATL,8.0,1,1,0,0,0
133,LaMonte Wade Jr.,1.0,ATL,8.0,1,1,0,0,0
134,Heliot Ramos,2.0,ATL,8.0,1,1,1,0,0
135,Patrick Bailey,0.0,ATL,8.0,1,0,0,0,0
136,Matt Chapman,0.0,ATL,8.0,1,0,0,0,0
137,Michael Conforto,1.0,ATL,8.0,1,1,0,0,0
138,Brett Wisely,1.0,ATL,8.0,1,1,0,0,0
139,Luis Matos,1.0,ATL,8.0,1,1,0,0,0
140,Manuel Margot,2.0,DET,5.0,1,1,1,0,0
141,Nick Ahmed,0.0,ATL,8.0,1,0,0,0,0
142,Carlos Correa,1.0,DET,5.0,1,1,0,0,0
143,Max Kepler,0.0,ATL,8.0,1,0,0,0,0
144,Jose Miranda,1.0,DET,5.0,1,1,0,0,0
145,Austin Martin,0.0,DET,5.0,1,0,0,0,0
146,Carlos Santana,0.0,DET,5.0,1,0,0,0,0
147,Byron Buxton,1.0,DET,5.0,1,1,0,0,0
148,Ryan Jeffers,0.0,DET,5.0,1,0,0,0,0
149,Willi Castro,0.0,DET,5.0,1,0,0,0,0
150,Kyle Farmer,1.0,DET,5.0,1,1,0,0,0
151,Bryson Stott,2.0,CHC,14.0,1,1,1,0,0
152,Trea Turner,3.0,CHC,14.0,1,1,1,1,0
153,Alec Bohm,0.0,CHC,14.0,1,0,0,0,0
154,Brandon Marsh,0.0,CHC,14.0,1,0,0,0,0
155,Nick Castellanos,1.0,CHC,14.0,1,1,0,0,0
156,Kody Clemens,1.0,TBR,9.0,1,1,0,0,0
157,David Dahl,0.0,CHC,14.0,1,0,0,0,0
158,Garrett Stubbs,1.0,CHC,14.0,1,1,0,0,0
159,Josh Rojas,1.0,CHC,14.0,1,1,0,0,0
160,Tomas Nido,0.0,SEA,1.0,1,0,0,0,0
161,Miles Mastrobuoni,0.0,SEA,1.0,1,0,0,0,0
162,Miguel Amaya,0.0,SEA,1.0,1,0,0,0,0
163,Marcus Semien,1.0,SDP,11.0,1,1,0,0,0
164,Josh Smith,1.0,SDP,11.0,1,1,0,0,0
165,Nathaniel Lowe,2.0,SDP,11.0,1,1,1,0,0
166,Adolis Garcia,1.0,ATL,8.0,1,1,0,0,0
167,Wyatt Langford,1.0,SDP,11.0,1,1,0,0,0
168,Jonah Heim,1.0,SDP,11.0,1,1,0,0,0
169,Derek Hill,0.0,SDP,11.0,1,0,0,0,0
170,Leody Taveras,2.0,SDP,11.0,1,1,1,0,0
171,Jonathan Ornelas,1.0,SDP,11.0,1,1,0,0,0
172,Maikel Garcia,1.0,TBR,9.0,1,1,0,0,0
173,Yandy Diaz,1.0,KCR,15.0,1,1,0,0,0
174,Bobby Witt Jr.,1.0,TBR,9.0,1,1,0,0,0
175,Brandon Lowe,1.0,KCR,15.0,1,1,0,0,0
176,Vinnie Pasquantino,0.0,CHC,14.0,1,0,0,0,0
177,Isaac Paredes,1.0,KCR,15.0,1,1,0,0,0
178,Salvador Perez,0.0,TBR,9.0,1,0,0,0,0
179,Josh Lowe,1.0,KCR,15.0,1,1,0,0,0
180,Michael Massey,0.0,SEA,1.0,1,0,0,0,0
181,Randy Arozarena,1.0,KCR,15.0,1,1,0,0,0
182,Hunter Renfroe,0.0,TBR,9.0,1,0,0,0,0
183,Richie Palacios,3.0,KCR,15.0,1,1,1,1,0
184,MJ Melendez,3.0,TBR,9.0,1,1,1,1,0
185,Jose Siri,1.0,KCR,15.0,1,1,0,0,0
186,CJ Alexander,1.0,TBR,9.0,1,1,0,0,0
187,Ben Rortvedt,0.0,KCR,15.0,1,0,0,0,0
188,Nick Loftin,0.0,TBR,9.0,1,0,0,0,0
189,Taylor Walls,0.0,KCR,15.0,1,0,0,0,0
190,Kyle Isbel,0.0,TBR,9.0,1,0,0,0,0
191,Ezequiel Tovar,0.0,MIL,10.0,1,0,0,0,0
192,Brendan Rodgers,1.0,MIL,10.0,1,1,0,0,0
193,Ryan McMahon,1.0,MIL,10.0,1,1,0,0,0
194,Willy Adames,2.0,SDP,11.0,1,1,1,0,0
195,Elias Diaz,2.0,MIL,10.0,1,1,1,0,0
196,Brenton Doyle,2.0,MIL,10.0,1,1,1,0,0
197,Jacob Stallings,1.0,MIL,10.0,1,1,0,0,0
198,Michael Toglia,0.0,MIL,10.0,1,0,0,0,0
199,Nolan Jones,0.0,MIL,10.0,1,0,0,0,0
200,Hunter Goodman,0.0,MIL,10.0,1,0,0,0,0
201,Jake Cave,0.0,MIL,10.0,1,0,0,0,0
202,Charlie Blackmon,0.0,MIL,10.0,1,0,0,0,0
203,Sam Hilliard,0.0,MIL,10.0,1,0,0,0,0
204,Gunnar Henderson,1.0,SEA,1.0,1,1,0,0,0
205,Adley Rutschman,0.0,CIN,13.0,1,0,0,0,0
206,J.P. Crawford,0.0,BAL,12.0,1,0,0,0,0
207,Ryan O'Hearn,2.0,SEA,1.0,1,1,1,0,0
208,Ty France,0.0,BAL,12.0,1,0,0,0,0
209,Anthony Santander,2.0,SEA,1.0,1,1,1,0,0
210,Luke Raley,0.0,BAL,12.0,1,0,0,0,0
211,Heston Kjerstad,0.0,SEA,1.0,1,0,0,0,0
212,Cal Raleigh,0.0,BAL,12.0,1,0,0,0,0
213,Jordan Westburg,1.0,SEA,1.0,1,1,0,0,0
214,Jorge Polanco,0.0,BAL,12.0,1,0,0,0,0
215,Colton Cowser,2.0,SEA,1.0,1,1,1,0,0
216,Ryan Bliss,0.0,BAL,12.0,1,0,0,0,0
217,Cedric Mullins,1.0,SEA,1.0,1,1,0,0,0
218,Dominic Canzone,0.0,BAL,12.0,1,0,0,0,0
219,Jorge Mateo,0.0,SEA,1.0,1,0,0,0,0
220,Julio Rodriguez,0.0,BAL,12.0,1,0,0,0,0
221,Corbin Carroll,0.0,LAD,7.0,1,0,0,0,0
222,Mitch Haniger,0.0,BAL,12.0,1,0,0,0,0
223,Ketel Marte,1.0,LAD,7.0,1,1,0,0,0
224,Josh Rojas,2.0,BAL,12.0,1,1,1,0,0
225,Joc Pederson,2.0,LAD,7.0,1,1,1,0,0
226,Dylan Moore,0.0,BAL,12.0,1,0,0,0,0
227,Christian Walker,2.0,LAD,7.0,1,1,1,0,0
228,Lourdes Gurriel Jr.,1.0,LAD,7.0,1,1,0,0,0
229,Gabriel Moreno,1.0,LAD,7.0,1,1,0,0,0
230,Eugenio Suarez,1.0,HOU,4.0,1,1,0,0,0
231,Jake McCarthy,1.0,LAD,7.0,1,1,0,0,0
232,Kevin Newman,0.0,LAD,7.0,1,0,0,0,0
233,Alek Thomas,0.0,LAD,7.0,1,0,0,0,0
234,Geraldo Perdomo,1.0,LAD,7.0,1,1,0,0,0
235,Jarren Duran,1.0,NYY,6.0,1,1,0,0,0
236,Rafael Devers,2.0,NYY,6.0,1,1,1,0,0
237,Masataka Yoshida,2.0,BAL,12.0,1,1,1,0,0
238,Nick Fortes,1.0,CIN,13.0,1,1,0,0,0
239,Tommy Pham,2.0,CLE,2.0,1,1,1,0,0
240,Steven Kwan,1.0,KCR,15.0,1,1,0,0,0
241,Andrew Benintendi,1.0,CLE,2.0,1,1,0,0,0
242,Luis Robert Jr.,2.0,CLE,2.0,1,1,1,0,0
243,Gavin Sheets,0.0,CLE,2.0,1,0,0,0,0
244,Eloy Jimenez,0.0,CLE,2.0,1,0,0,0,0
245,Josh Naylor,0.0,BAL,12.0,1,0,0,0,0
246,Andrew Vaughn,1.0,CLE,2.0,1,1,0,0,0
247,Nicky Lopez,1.0,CLE,2.0,1,1,0,0,0
248,Danny Mendick,0.0,CLE,2.0,1,0,0,0,0
249,Martin Maldonado,2.0,CLE,2.0,1,1,1,0,0
250,Oneil Cruz,2.0,MIL,10.0,1,1,1,0,0
251,Connor Joe,0.0,TBR,9.0,1,0,0,0,0
252,Brandon Nimmo,0.0,CLE,2.0,1,0,0,0,0
253,Michael A. Taylor,0.0,TBR,9.0,1,0,0,0,0
254,CJ Abrams,0.0,NYM,3.0,1,0,0,0,0
255,Pete Alonso,0.0,NYM,3.0,1,0,0,0,0
256,Lane Thomas,1.0,NYM,3.0,1,1,0,0,0
257,James Wood,2.0,NYM,3.0,1,1,1,0,0
258,Jesse Winker,2.0,NYM,3.0,1,1,1,0,0
259,Keibert Ruiz,0.0,NYM,3.0,1,0,0,0,0
260,Luis Garcia Jr.,2.0,NYM,3.0,1,1,1,0,0
261,Ildemaro Vargas,1.0,NYM,3.0,1,1,0,0,0
262,Jacob Young,0.0,HOU,4.0,1,0,0,0,0
263,Jonathan India,0.0,NYY,6.0,1,0,0,0,0
264,Anthony Volpe,1.0,CIN,13.0,1,1,0,0,0
265,Elly De La Cruz,0.0,NYY,6.0,1,0,0,0,0
266,Juan Soto,1.0,CIN,13.0,1,1,0,0,0
267,Jeimer Candelario,0.0,NYY,6.0,1,0,0,0,0
268,Aaron Judge,0.0,CIN,13.0,1,0,0,0,0
269,Spencer Steer,0.0,NYY,6.0,1,0,0,0,0
270,J.D. Davis,0.0,CIN,13.0,1,0,0,0,0
271,Tyler Stephenson,1.0,NYY,6.0,1,1,0,0,0
272,Ben Rice,0.0,CIN,13.0,1,0,0,0,0
273,Noelvi Marte,1.0,NYY,6.0,1,1,0,0,0
274,Gleyber Torres,0.0,CIN,13.0,1,0,0,0,0
275,Stuart Fairchild,1.0,NYY,6.0,1,1,0,0,0
276,Alex Verdugo,1.0,CIN,13.0,1,1,0,0,0
277,Santiago Espinal,0.0,NYY,6.0,1,0,0,0,0
278,DJ LeMahieu,1.0,CIN,13.0,1,1,0,0,0
279,Blake Dunn,0.0,NYY,6.0,1,0,0,0,0
280,Jahmai Jones,1.0,CIN,13.0,1,1,0,0,0
281,Trent Grisham,0.0,CIN,13.0,1,0,0,0,0
282,Jose Trevino,0.0,CIN,13.0,1,0,0,0,0
283,Austin Wells,0.0,CIN,13.0,1,0,0,0,0
284,George Springer,0.0,HOU,4.0,1,0,0,0,0
285,Spencer Horwitz,0.0,HOU,4.0,1,0,0,0,0
286,Vladimir Guerrero Jr.,1.0,HOU,4.0,1,1,0,0,0
287,Bo Bichette,1.0,TBR,9.0,1,1,0,0,0
288,Daulton Varsho,2.0,HOU,4.0,1,1,1,0,0
289,Davis Schneider,0.0,HOU,4.0,1,0,0,0,0
290,Ernie Clement,0.0,HOU,4.0,1,0,0,0,0
291,Jorge Soler,1.0,ATL,8.0,1,1,0,0,0
292,Addison Barger,0.0,HOU,4.0,1,0,0,0,0
293,Austin Slater,0.0,ATL,8.0,1,0,0,0,0
294,Brian Serven,1.0,HOU,4.0,1,1,0,0,0
295,Michael Conforto,0.0,ATL,8.0,1,0,0,0,0
296,Jarred Kelenic,0.0,ATL,8.0,1,0,0,0,0
297,Heliot Ramos,0.0,ATL,8.0,1,0,0,0,0
298,Ozzie Albies,1.0,BAL,12.0,1,1,0,0,0
299,Matt Chapman,2.0,ATL,8.0,1,1,1,0,0
300,Luis Matos,0.0,ATL,8.0,1,0,0,0,0
301,David Villar,0.0,ATL,8.0,1,0,0,0,0
302,Nick Ahmed,0.0,ATL,8.0,1,0,0,0,0
303,Curt Casali,1.0,ATL,8.0,1,1,0,0,0
304,Tyler Fitzgerald,0.0,ATL,8.0,1,0,0,0,0
305,Zack Short,0.0,SDP,11.0,1,0,0,0,0
