,player,1_runs_rate_under,2_runs_rate_under,3_runs_rate_under,4_runs_rate_under
0,Aaron Judge,0.5084745762711864,0.15254237288135594,0.01694915254237288,0.01694915254237288
1,Adam Frazier,0.1794871794871795,0.0,0.0,0.0
2,Adley Rutschman,0.24528301886792453,0.018867924528301886,0.0,0.0
3,Adolis Garcia,0.14285714285714285,0.04081632653061224,0.0,0.0
4,Alejandro Kirk,0.175,0.0,0.0,0.0
5,Alex Bregman,0.42,0.12,0.0,0.0
6,Alex Verdugo,0.3611111111111111,0.1388888888888889,0.0,0.0
7,Andres Gimenez,0.1774193548387097,0.016129032258064516,0.0,0.0
8,Andrew McCutchen,0.2,0.06,0.02,0.0
9,Andrew Vaughn,0.1864406779661017,0.03389830508474576,0.0,0.0
10,Andy Ibanez,0.17391304347826086,0.0,0.0,0.0
11,Andy Pages,0.2857142857142857,0.023809523809523808,0.0,0.0
12,Anthony Santander,0.3333333333333333,0.08771929824561403,0.0,0.0
13,Anthony Volpe,0.2807017543859649,0.03508771929824561,0.0,0.0
14,Austin Wells,0.2653061224489796,0.04081632653061224,0.0,0.0
15,Ben Rice,0.28205128205128205,0.07692307692307693,0.0,0.0
16,Bo Naylor,0.22641509433962265,0.018867924528301886,0.0,0.0
17,Bobby Witt Jr.,0.5490196078431373,0.0784313725490196,0.0,0.0
18,Brandon Lowe,0.35714285714285715,0.07142857142857142,0.03571428571428571,0.0
19,Brandon Nimmo,0.32608695652173914,0.06521739130434782,0.021739130434782608,0.0
20,Brayan Rocchio,0.1694915254237288,0.03389830508474576,0.0,0.0
21,Brendan Donovan,0.35,0.06666666666666667,0.03333333333333333,0.0
22,Brendan Rodgers,0.3333333333333333,0.09523809523809523,0.015873015873015872,0.0
23,Brent Rooker,0.4838709677419355,0.16129032258064516,0.04838709677419355,0.0
24,Brenton Doyle,0.3076923076923077,0.03076923076923077,0.015384615384615385,0.0
25,Brooks Baldwin,0.17647058823529413,0.0,0.0,0.0
26,Bryce Harper,0.36923076923076925,0.09230769230769231,0.0,0.0
27,Byron Buxton,0.5111111111111111,0.17777777777777778,0.022222222222222223,0.0
28,CJ Abrams,0.2909090909090909,0.09090909090909091,0.01818181818181818,0.0
29,Carlos Santana,0.3442622950819672,0.04918032786885246,0.0,0.0
30,Ceddanne Rafaela,0.3968253968253968,0.06349206349206349,0.015873015873015872,0.0
31,Cedric Mullins,0.2830188679245283,0.05660377358490566,0.018867924528301886,0.0
32,Chas McCormick,0.17647058823529413,0.058823529411764705,0.029411764705882353,0.0
33,Christopher Morel,0.16666666666666666,0.05,0.0,0.0
34,Cody Bellinger,0.44680851063829785,0.1276595744680851,0.0,0.0
35,Colton Cowser,0.43243243243243246,0.16216216216216217,0.02702702702702703,0.0
36,Corey Seager,0.4444444444444444,0.08333333333333333,0.027777777777777776,0.0
37,Daniel Schneemann,0.1702127659574468,0.02127659574468085,0.0,0.0
38,Danny Jansen,0.1794871794871795,0.02564102564102564,0.0,0.0
39,Dansby Swanson,0.45454545454545453,0.18181818181818182,0.0,0.0
40,Daulton Varsho,0.275,0.05,0.025,0.0
41,Davis Schneider,0.12903225806451613,0.0,0.0,0.0
42,Donovan Solano,0.17647058823529413,0.029411764705882353,0.0,0.0
43,Dylan Crews,0.28205128205128205,0.05128205128205128,0.02564102564102564,0.0
44,Dylan Moore,0.2826086956521739,0.13043478260869565,0.0,0.0
45,Elias Diaz,0.18181818181818182,0.030303030303030304,0.0,0.0
46,Elly De La Cruz,0.359375,0.109375,0.046875,0.015625
47,Emmanuel Rivera,0.16666666666666666,0.0,0.0,0.0
48,Ernie Clement,0.2807017543859649,0.03508771929824561,0.017543859649122806,0.0
49,Eugenio Suarez,0.44776119402985076,0.1791044776119403,0.04477611940298507,0.029850746268656716
50,Francisco Lindor,0.4782608695652174,0.15217391304347827,0.021739130434782608,0.0
51,Freddie Freeman,0.32653061224489793,0.04081632653061224,0.0,0.0
52,Freddy Fermin,0.24324324324324326,0.02702702702702703,0.0,0.0
53,Garrett Mitchell,0.3333333333333333,0.047619047619047616,0.023809523809523808,0.0
54,Gavin Lux,0.2878787878787879,0.030303030303030304,0.0,0.0
55,George Springer,0.3508771929824561,0.12280701754385964,0.017543859649122806,0.0
56,Geraldo Perdomo,0.46875,0.125,0.0,0.0
57,Gio Urshela,0.20754716981132076,0.03773584905660377,0.018867924528301886,0.0
58,Gunnar Henderson,0.3492063492063492,0.09523809523809523,0.015873015873015872,0.0
59,Harrison Bader,0.18604651162790697,0.046511627906976744,0.0,0.0
60,Ian Happ,0.4418604651162791,0.13953488372093023,0.023255813953488372,0.0
61,J.P. Crawford,0.2972972972972973,0.02702702702702703,0.0,0.0
62,JJ Bleday,0.36666666666666664,0.11666666666666667,0.05,0.016666666666666666
63,Jackson Chourio,0.4230769230769231,0.07692307692307693,0.019230769230769232,0.0
64,Jackson Holliday,0.3333333333333333,0.05128205128205128,0.0,0.0
65,Jackson Merrill,0.4166666666666667,0.0,0.0,0.0
66,Jacob Young,0.3103448275862069,0.06896551724137931,0.0,0.0
67,Jake Cronenworth,0.32432432432432434,0.02702702702702703,0.0,0.0
68,Jake Fraley,0.29545454545454547,0.0,0.0,0.0
69,Jake Meyers,0.27586206896551724,0.034482758620689655,0.0,0.0
70,James Wood,0.30303030303030304,0.06060606060606061,0.015151515151515152,0.0
71,Jarren Duran,0.44,0.14666666666666667,0.04,0.0
72,Javier Baez,0.2692307692307692,0.0,0.0,0.0
73,Jazz Chisholm Jr.,0.4418604651162791,0.11627906976744186,0.023255813953488372,0.0
74,Joey Bart,0.32653061224489793,0.08163265306122448,0.0,0.0
75,Joey Ortiz,0.30612244897959184,0.0,0.0,0.0
76,Jonah Heim,0.19047619047619047,0.023809523809523808,0.023809523809523808,0.0
77,Jonathan India,0.3620689655172414,0.06896551724137931,0.034482758620689655,0.0
78,Jonny DeLuca,0.3,0.025,0.0,0.0
79,Jorge Polanco,0.3404255319148936,0.0425531914893617,0.0,0.0
80,Jorge Soler,0.34615384615384615,0.019230769230769232,0.0,0.0
81,Jose Altuve,0.4067796610169492,0.0847457627118644,0.0,0.0
82,Jose Iglesias,0.24324324324324326,0.05405405405405406,0.0,0.0
83,Jose Ramirez,0.38235294117647056,0.10294117647058823,0.029411764705882353,0.0
84,Josh Jung,0.3333333333333333,0.030303030303030304,0.0,0.0
85,Josh Naylor,0.30158730158730157,0.06349206349206349,0.0,0.0
86,Josh Rojas,0.22058823529411764,0.058823529411764705,0.0,0.0
87,Julio Rodriguez,0.42857142857142855,0.16326530612244897,0.04081632653061224,0.0
88,Junior Caminero,0.2727272727272727,0.09090909090909091,0.022727272727272728,0.0
89,Jurickson Profar,0.4473684210526316,0.13157894736842105,0.0,0.0
90,Justin Turner,0.32558139534883723,0.0,0.0,0.0
91,Keibert Ruiz,0.2641509433962264,0.03773584905660377,0.0,0.0
92,Kerry Carpenter,0.35714285714285715,0.11904761904761904,0.0,0.0
93,Korey Lee,0.23529411764705882,0.029411764705882353,0.0,0.0
94,Kyle Isbel,0.2978723404255319,0.0425531914893617,0.0,0.0
95,Kyle Schwarber,0.5333333333333333,0.13333333333333333,0.016666666666666666,0.0
96,Kyle Stowers,0.2619047619047619,0.0,0.0,0.0
97,LaMonte Wade Jr.,0.2857142857142857,0.05357142857142857,0.0,0.0
98,Lars Nootbaar,0.3548387096774194,0.06451612903225806,0.0,0.0
99,Lawrence Butler,0.45,0.05,0.016666666666666666,0.0
100,Leody Taveras,0.25,0.08333333333333333,0.020833333333333332,0.0
101,Logan O'Hoppe,0.288135593220339,0.05084745762711865,0.0,0.0
102,Lourdes Gurriel Jr.,0.4074074074074074,0.1111111111111111,0.0,0.0
103,Luis Arraez,0.2682926829268293,0.024390243902439025,0.0,0.0
104,Luis Garcia Jr.,0.3620689655172414,0.05172413793103448,0.034482758620689655,0.0
105,Luis Robert Jr.,0.2857142857142857,0.05357142857142857,0.0,0.0
106,MJ Melendez,0.3333333333333333,0.0,0.0,0.0
107,Maikel Garcia,0.3148148148148148,0.037037037037037035,0.0,0.0
108,Manny Machado,0.32653061224489793,0.12244897959183673,0.02040816326530612,0.0
109,Matt Chapman,0.373134328358209,0.08955223880597014,0.0,0.0
110,Matt Olson,0.3269230769230769,0.038461538461538464,0.0,0.0
111,Matt Wallner,0.3125,0.08333333333333333,0.020833333333333332,0.0
112,Mauricio Dubon,0.15555555555555556,0.0,0.0,0.0
113,Max Muncy,0.21739130434782608,0.043478260869565216,0.0,0.0
114,Max Schuemann,0.21153846153846154,0.07692307692307693,0.0,0.0
115,Michael A. Taylor,0.23255813953488372,0.09302325581395349,0.0,0.0
116,Michael Conforto,0.3829787234042553,0.0425531914893617,0.02127659574468085,0.0
117,Michael Harris II,0.2857142857142857,0.02857142857142857,0.0,0.0
118,Michael Massey,0.22916666666666666,0.041666666666666664,0.0,0.0
119,Michael Toglia,0.3466666666666667,0.05333333333333334,0.013333333333333334,0.013333333333333334
120,Miguel Andujar,0.3170731707317073,0.024390243902439025,0.0,0.0
121,Miguel Rojas,0.24324324324324326,0.05405405405405406,0.05405405405405406,0.0
122,Miguel Vargas,0.27450980392156865,0.0784313725490196,0.0,0.0
123,Mike Yastrzemski,0.3333333333333333,0.11666666666666667,0.0,0.0
124,Nick Castellanos,0.3880597014925373,0.1044776119402985,0.014925373134328358,0.0
125,Noelvi Marte,0.15,0.05,0.0,0.0
126,Oneil Cruz,0.38095238095238093,0.07936507936507936,0.0,0.0
127,Orlando Arcia,0.23809523809523808,0.047619047619047616,0.0,0.0
128,Oswaldo Cabrera,0.34285714285714286,0.14285714285714285,0.0,0.0
129,Otto Lopez,0.3877551020408163,0.08163265306122448,0.0,0.0
130,Paul Goldschmidt,0.3230769230769231,0.07692307692307693,0.0,0.0
131,Pavin Smith,0.36363636363636365,0.09090909090909091,0.030303030303030304,0.0
132,Pete Alonso,0.39285714285714285,0.0,0.0,0.0
133,Pete Crow-Armstrong,0.3829787234042553,0.0425531914893617,0.0,0.0
