,Player,Team
0,Jarren Duran,BOS
1,Corbin Carroll,ARI
2,Rafael Devers,BOS
3,Kyle Tucker,CHC
4,Lars Nootbaar,STL
5,Francisco Lindor,NYM
6,Shohei Ohtani,LAD
7,Alex Bregman,BOS
8,James Wood,WSN
9,Bo Bichette,TOR
10,Bobby Witt Jr.,KCR
11,Willy Adames,SFG
12,Aaron Judge,NYY
13,Elly De La Cruz,CIN
14,Pete Alonso,NYM
15,Austin Riley,ATL
16,Bryce Harper,PHI
17,Brent Rooker,ATH
18,Juan Soto,NYM
19,Jackson Chourio,MIL
20,Kyle Schwarber,PHI
21,Ozzie Albies,ATL
22,Matt Olson,ATL
23,Julio Rodriguez,SEA
24,Vladimir Guerrero Jr.,TOR
25,Bryan Reynolds,PIT
26,Nathaniel Lowe,WSN
27,Geraldo Perdomo,ARI
28,Matt Chapman,SFG
29,Xavier Edwards,MIA
30,Steven Kwan,CLE
31,Vinnie Pasquantino,KCR
32,Dansby Swanson,CHC
33,Pete Crow-Armstrong,CHC
34,Heliot Ramos,SFG
35,Tyler Soderstrom,ATH
36,Trea Turner,PHI
37,Willson Contreras,STL
38,Isaac Paredes,HOU
39,Jeremy Pena,HOU
40,Michael Harris II,ATL
41,Jung Hoo Lee,SFG
42,Josh Naylor,ARI
43,Spencer Torkelson,DET
44,Brendan Donovan,STL
45,TJ Friedl,CIN
46,Trevor Larnach,MIN
47,Cal Raleigh,SEA
48,Eugenio Suarez,ARI
49,Mookie Betts,LAD
50,Lawrence Butler,ATH
51,Jonathan India,KCR
52,Marcell Ozuna,ATL
53,Seiya Suzuki,CHC
54,Fernando Tatis Jr.,SDP
55,Riley Greene,DET
56,Ian Happ,CHC
57,Marcus Semien,TEX
58,Anthony Volpe,NYY
59,Nick Castellanos,PHI
60,Paul Goldschmidt,NYY
61,Christian Yelich,MIL
62,Jose Altuve,HOU
63,Trevor Story,BOS
64,Yandy Diaz,TBR
65,Christian Walker,HOU
66,Jacob Wilson,ATH
67,Maikel Garcia,KCR
68,Brandon Nimmo,NYM
69,Brice Turang,MIL
70,Randy Arozarena,SEA
71,Ryan McMahon,COL
72,Salvador Perez,KCR
73,Taylor Ward,LAA
74,Nolan Arenado,STL
75,Manny Machado,SDP
76,William Contreras,MIL
77,Adolis Garcia,TEX
78,Andrew Vaughn,CHW
79,Ty France,MIN
80,Lourdes Gurriel Jr.,ARI
81,Nico Hoerner,CHC
82,Jose Ramirez,CLE
83,Xander Bogaerts,SDP
84,Carlos Santana,CLE
85,JJ Bleday,ATH
86,Miguel Vargas,CHW
87,J.P. Crawford,SEA
88,Wilmer Flores,SFG
89,Hunter Goodman,COL
90,Wilyer Abreu,BOS
91,Alec Bohm,PHI
92,Anthony Santander,TOR
93,Bryson Stott,PHI
94,Cody Bellinger,NYY
95,Byron Buxton,MIN
96,Junior Caminero,TBR
97,Ke'Bryan Hayes,PIT
98,Cedric Mullins,BAL
99,Andy Pages,LAD
100,Luis Robert Jr.,CHW
101,Jorge Soler,LAA
102,Michael Toglia,COL
103,Kristian Campbell,BOS
104,Brandon Lowe,TBR
105,Mark Vientos,NYM
106,Max Muncy,LAD
107,Nolan Schanuel,LAA
108,Kyle Stowers,MIA
109,Adley Rutschman,BAL
110,Luis Arraez,SDP
111,Michael Busch,CHC
112,Mike Yastrzemski,SFG
113,Dylan Crews,WSN
114,Zach McKinstry,DET
115,Spencer Steer,CIN
116,Sal Frelick,MIL
117,Shea Langeliers,ATH
118,Gavin Lux,CIN
119,Oneil Cruz,PIT
120,Matt McLain,CIN
121,George Springer,TOR
122,Michael Conforto,LAD
123,Max Kepler,PHI
124,Keibert Ruiz,WSN
125,Kerry Carpenter,DET
126,Rhys Hoskins,MIL
127,Gunnar Henderson,BAL
128,Kyle Manzardo,CLE
129,Ben Rice,NYY
130,Trey Sweeney,DET
131,Gabriel Arias,CLE
132,Yainer Diaz,HOU
133,Michael Massey,KCR
134,Victor Scott II,STL
135,Lenyn Sosa,CHW
136,Eric Wagaman,MIA
137,Carlos Correa,MIN
138,Luis Garcia Jr.,WSN
139,Wyatt Langford,TEX
140,Ceddanne Rafaela,BOS
141,Ryan Mountcastle,BAL
142,Joey Ortiz,MIL
143,J.T. Realmuto,PHI
144,Jonathan Aranda,TBR
145,Josh Bell,WSN
146,Andrew McCutchen,PIT
147,CJ Abrams,WSN
