,Team,Rank
0,New York Yankees,1
1,Houston Astros,2
2,San Diego Padres,3
3,Cincinnati Reds,4
4,Texas Rangers,5
5,Detroit Tigers,6
6,New York Mets,7
7,Atlanta Braves,8
8,Minnesota Twins,9
9,San Francisco Giants,10
10,Kansas City Royals,11
11,Milwaukee Brewers,12
12,Tampa Bay Rays,13
13,Los Angeles Dodgers,14
14,Pittsburgh Pirates,15
15,St. Louis Cardinals,16
16,Toronto Blue Jays,17
18,Philadelphia Phillies,18
19,Arizona Diamondbacks,19
20,Chicago Cubs,20
21,Seattle Mariners,21
22,Chicago White Sox,22
23,Boston Red Sox,23
24,Cleveland Guardians,24
25,Miami Marlins,25
26,Los Angeles Angels,26
27,Washington Nationals,27
28,Athletics,28
29,Baltimore Orioles,29
30,Colorado Rockies,30
