away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
F. LindorSS,2,1,0,0,0,1,0,.291,.359,.484,B. RiceDH,3,0,1,0,0,0,0,.255,.354,.540
J. SotoRF,2,1,1,0,0,1,1,.255,.390,.460,A. JudgeRF,3,0,0,0,0,0,1,.407,.493,.762
P. Alonso1B,3,0,1,1,0,0,0,.304,.411,.565,C. BellingerCF,3,1,1,1,1,0,1,.243,.308,.421
B. NimmoLF,2,0,0,0,0,1,1,.230,.291,.430,P. Goldschmidt1B,3,0,0,0,0,0,1,.343,.391,.497
M. VientosDH,2,0,0,1,0,0,1,.242,.306,.392,J. DominguezLF,3,0,2,0,0,0,0,.246,.340,.431
J. McNeil2B,2,0,0,0,0,1,0,.234,.339,.468,A. VolpeSS,3,0,1,0,0,0,0,.238,.328,.425
L. TorrensC,2,0,1,0,0,1,0,.253,.322,.418,J.C. EscarraC,2,0,0,0,0,1,0,.189,.311,.351
B. Baty3B,3,0,0,0,0,0,1,.221,.250,.481,D. LeMahieu2B,3,1,2,1,1,0,0,.429,.500,.857
T. TaylorCF,3,0,1,0,0,0,1,.233,.281,.358,J. Vivas3B,2,0,0,0,0,0,1,.172,.273,.207
team,21,2,4,2,0,5,5,,,,team,25,2,7,2,2,1,4,,,
C. MeidrothSS,2,1,2,1,1,0,0,.280,.372,.347,P. Crow-ArmstrongCF,2,0,1,2,0,0,1,.284,.321,.563
M. Vargas3B,1,0,0,1,0,0,0,.240,.322,.403,K. TuckerRF,1,0,0,0,0,1,0,.266,.373,.531
E. QueroC,1,0,0,0,0,0,1,.289,.379,.329,S. SuzukiLF,2,0,0,0,0,0,1,.243,.297,.515
L. Robert Jr.CF,1,0,0,0,0,0,1,.179,.281,.303,M. Busch1B,1,0,0,0,0,0,1,.254,.354,.472
A. VaughnDH,1,0,0,0,0,0,0,.183,.215,.320,D. SwansonSS,1,1,1,0,0,0,0,.250,.307,.459
L. Sosa2B,1,0,0,0,0,0,0,.265,.284,.371,M. BallesterosDH,0,1,0,0,0,1,0,.125,.300,.125
T. Elko1B,1,0,0,0,0,0,1,.125,.125,.313,N. Hoerner2B,0,1,0,0,0,1,0,.278,.320,.346
J. PalaciosRF,1,0,0,0,0,0,0,.205,.318,.274,M. AmayaC,1,1,1,2,0,0,0,.284,.306,.494
M. TaylorLF,1,1,1,0,0,0,0,.207,.266,.368,V. Brujan3B,1,0,0,0,0,0,0,.182,.182,.273
team,10,2,3,2,1,0,3,,,,team,9,4,3,4,0,3,3,,,
J. MalloyRF,0,0,0,0,0,0,0,.213,.365,.307,B. BichetteSS,0,0,0,0,0,0,0,.294,.342,.439
G. TorresDH,0,0,0,0,0,0,0,.294,.359,.452,V. Guerrero Jr.DH,0,0,0,0,0,0,0,.293,.392,.433
R. GreeneLF,0,0,0,0,0,0,0,.278,.333,.521,D. VarshoCF,0,0,0,0,0,0,0,.227,.265,.659
A. Ibanez3B,0,0,0,0,0,0,0,.246,.329,.377,G. SpringerRF,0,0,0,0,0,0,0,.271,.380,.474
S. Torkelson1B,0,0,0,0,0,0,0,.236,.346,.516,A. Barger3B,0,0,0,0,0,0,0,.250,.311,.441
C. Keith2B,0,0,0,0,0,0,0,.225,.344,.360,E. Clement1B,0,0,0,0,0,0,0,.265,.290,.350
J. BaezCF,0,0,0,0,0,0,0,.307,.343,.512,N. LukesLF,0,0,0,0,0,0,0,.265,.363,.426
T. NidoC,0,0,0,0,0,0,0,.344,.364,.344,T. HeinemanC,0,0,0,0,0,0,0,.395,.400,.558
Z. McKinstrySS,0,0,0,0,0,0,0,.286,.374,.429,M. Stefanic2B,0,0,0,0,0,0,0,.400,.400,.400
team,0,0,0,0,0,0,0,,,,team,0,0,0,0,0,0,0,,,
A. Bregman3B,4,1,2,0,0,0,0,.251,.309,.401,B. BichetteSS,3,0,0,0,0,1,1,.230,.286,.331
J. MeyersCF,4,0,0,0,0,0,3,.256,.322,.430,S. Horwitz1B,4,0,1,0,0,0,0,.290,.429,.435
Y. AlvarezDH,3,1,1,2,1,1,0,.294,.372,.528,J. TurnerDH,3,0,0,0,0,0,2,.247,.352,.372
Y. DiazC,4,0,0,0,0,0,0,.278,.303,.415,G. SpringerRF,4,0,1,0,0,0,1,.215,.301,.349
J. Singleton1B,3,0,0,0,0,1,3,.232,.330,.348,D. VarshoLF-CF,3,0,0,0,0,1,1,.198,.277,.399
J. PenaSS,3,1,1,1,1,0,0,.277,.320,.385,A. KirkC,4,0,0,0,0,0,1,.200,.282,.289
M. Dubon2B,3,0,0,0,0,0,1,.289,.311,.403,D. Schneider2B,3,0,0,0,0,1,0,.215,.312,.405
T. CabbageRF,3,0,0,0,0,0,1,.269,.296,.423,E. Clement3B,4,1,2,1,1,0,0,.268,.286,.423
C. McCormickLF,3,0,0,0,0,0,1,.213,.273,.331,K. KiermaierCF,2,0,0,0,0,0,1,.190,.233,.281
team,30,3,4,3,2,2,9,,,,aA. BargerPH-LF,1,0,0,0,0,1,0,.170,.200,.208
,,,,,,,,,,,team,31,1,4,1,1,4,7,,,
F. LindorSS,5,1,1,0,0,0,3,.247,.312,.435,C. AbramsSS,3,2,1,0,0,2,1,.284,.348,.512
H. BaderCF,4,2,2,0,0,0,0,.273,.319,.411,L. ThomasRF,5,1,1,0,0,0,1,.239,.300,.413
J.D. MartinezDH,3,1,1,3,1,2,2,.278,.360,.493,H. RamirezDH,3,0,1,1,0,0,0,.300,.300,.450
P. Alonso1B,5,0,1,0,0,0,1,.244,.331,.470,bJ. WinkerPH-DH,1,2,1,1,0,1,0,.259,.376,.409
M. Vientos3B,4,1,2,1,0,0,2,.294,.353,.574,J. Meneses1B,5,0,2,1,0,0,1,.233,.292,.307
B. GamelLF,1,0,0,0,0,0,0,.000,.500,.000,I. Vargas2B-3B,5,1,1,2,0,0,0,.260,.317,.340
T. TaylorRF,5,2,1,0,0,0,1,.228,.276,.370,J. WoodLF,4,0,1,0,0,1,1,.250,.400,.250
F. AlvarezC,5,1,2,3,0,0,2,.306,.372,.528,K. RuizC,5,0,3,1,0,0,0,.212,.251,.302
J. Iglesias2B-3B,5,1,1,2,1,0,0,.378,.417,.533,D. MillasPR,0,0,0,0,0,0,0,.167,.219,.300
J. McNeilLF-2B,5,0,1,0,0,0,2,.217,.276,.304,N. Senzel3B,2,0,0,0,0,0,0,.209,.308,.367
team,42,9,12,9,2,2,13,,,,aL. Garcia Jr.PH-2B,3,0,0,0,0,0,1,.257,.289,.388
,,,,,,,,,,,J. YoungCF,4,1,0,0,0,0,1,.268,.323,.333
,,,,,,,,,,,team,40,7,11,6,0,4,6,,,
J. Ortiz3B,5,0,0,0,0,0,2,.269,.373,.444,C. BlackmonDH,5,1,2,1,1,0,0,.260,.328,.409
W. ContrerasDH,5,2,3,1,1,0,1,.296,.355,.451,E. TovarSS,5,0,0,0,0,0,2,.280,.309,.465
C. YelichLF,5,2,2,0,0,0,0,.323,.399,.493,R. McMahon3B,5,1,1,1,0,0,1,.269,.347,.458
W. AdamesSS,5,1,3,1,0,0,0,.235,.324,.410,E. DiazC,5,0,1,0,0,0,1,.304,.351,.440
J. ChourioRF,3,1,1,2,0,0,0,.244,.289,.391,B. Rodgers2B,3,1,2,1,0,2,0,.284,.327,.412
bS. FrelickPH-RF,1,1,1,0,0,1,0,.271,.345,.341,A. SchunkPR,0,1,0,0,0,0,0,.000,.000,.000
R. Hoskins1B,4,0,0,1,0,0,0,.225,.316,.405,M. Toglia1B,4,0,0,0,0,1,0,.183,.238,.427
J. BauersPR-1B,0,0,0,0,0,0,0,.221,.320,.407,B. DoyleCF,4,3,3,3,2,1,0,.260,.323,.408
B. PerkinsCF,2,0,1,1,0,0,1,.246,.320,.358,N. JonesLF,4,0,2,1,0,1,0,.193,.296,.321
aG. MitchellPH-CF,2,0,1,0,0,1,1,.500,.667,.500,J. CaveRF,5,1,2,1,0,0,0,.247,.300,.322
