,book,sport,player,game,bet,odds,edge,decimal_odds,profit
0,hardrockbet,MLB,Addison Barger,TOR vs DET,under 0.5 RBI,-230,16.8,1.435,43.5
1,betmgm,MLB,Alec Bohm,PHI vs PIT,over 0.5 RBI,170,15.2,2.7,170.0
2,betmgm,MLB,Andrew McCutchen,PIT vs PHI,under 0.5 RBI,-275,11.5,1.364,36.400000000000006
3,hardrockbet,MLB,Andrew Vaughn,CHW vs CHC,over 0.5 RBI,150,48.3,2.5,150.0
4,hardrockbet,MLB,Anthony Santander,TOR vs DET,under 0.5 RBI,-180,19.8,1.556,55.599999999999994
5,draftkings,MLB,Austin Hays,CIN vs CLE,over 0.5 RBI,120,35.8,2.2,120.00000000000003
6,draftkings,MLB,Austin Hedges,CLE vs CIN,under 0.5 RBI,-425,10.7,1.235,23.500000000000014
7,betmgm,MLB,Austin Wells,NYY vs NYM,under 0.5 RBI,-200,17.9,1.5,50.0
8,draftkings,MLB,Ben Rice,NYY vs NYM,under 0.5 RBI,-240,17.1,1.417,41.70000000000002
9,hardrockbet,MLB,Brent Rooker,ATH vs SFG,under 0.5 RBI,-220,11.0,1.455,45.5
10,ballybet,MLB,Brooks Lee,MIN vs MIL,over 0.5 RBI,195,51.3,2.95,195.0
11,hardrockbet,MLB,Bryan Reynolds,PIT vs PHI,under 0.5 RBI,-260,11.7,1.385,38.5
12,draftkings,MLB,Bryson Stott,PHI vs PIT,over 0.5 RBI,180,15.0,2.8,180.0
13,fliff,MLB,Cal Raleigh,SEA vs SDP,under 0.5 RBI,-220,14.2,1.455,45.5
14,betmgm,MLB,Carlos Santana,CLE vs CIN,under 0.5 RBI,-155,25.0,1.645,64.5
15,espnbet,MLB,Christian Walker,HOU vs TEX,under 0.5 RBI,-200,16.6,1.5,50.0
16,betmgm,MLB,Christian Yelich,MIL vs MIN,under 0.5 RBI,-275,12.3,1.364,36.400000000000006
17,espnbet,MLB,Cody Bellinger,NYY vs NYM,under 0.5 RBI,-220,15.1,1.455,45.5
18,hardrockbet,MLB,Connor Wong,BOS vs ATL,under 0.5 RBI,-230,16.9,1.435,43.5
19,espnbet,MLB,Daulton Varsho,TOR vs DET,under 0.5 RBI,-225,17.3,1.444,44.400000000000006
20,prizepicks,MLB,Eugenio Suarez,ARI vs COL,over 0.5 RBI,100,29.6,2.0,100.0
21,hardrockbet,MLB,Francisco Lindor,NYM vs NYY,under 0.5 RBI,-225,14.8,1.444,44.400000000000006
22,draftkings,MLB,Freddy Fermin,KCR vs STL,under 0.5 RBI,-295,11.9,1.339,33.900000000000006
23,betmgm,MLB,Gabriel Arias,CLE vs CIN,under 0.5 RBI,-250,18.1,1.4,40.0
24,draftkings,MLB,Gavin Sheets,SDP vs SEA,under 0.5 RBI,-265,13.3,1.377,37.69999999999999
25,hardrockbet,MLB,George Springer,TOR vs DET,under 0.5 RBI,-240,15.5,1.417,41.70000000000002
26,draftkings,MLB,Geraldo Perdomo,ARI vs COL,over 0.5 RBI,185,68.8,2.85,185.0
27,ballybet,MLB,Gunnar Henderson,BAL vs WSH,over 0.5 RBI,116,46.0,2.16,116.0
28,draftkings,MLB,Heliot Ramos,SFG vs ATH,over 0.5 RBI,160,59.9,2.6,160.0
29,fanduel,MLB,J.T. Realmuto,PHI vs PIT,over 0.5 RBI,165,10.9,2.65,165.0
30,fliff,MLB,Jackson Chourio,MIL vs MIN,under 0.5 RBI,-265,13.6,1.377,37.69999999999999
31,espnbet,MLB,Jackson Merrill,SDP vs SEA,under 0.5 RBI,-155,23.5,1.645,64.5
32,betmgm,MLB,Jake Meyers,HOU vs TEX,under 0.5 RBI,-300,10.8,1.333,33.29999999999998
33,espnbet,MLB,Jhonkensy Noel,CLE vs CIN,under 0.5 RBI,-240,16.8,1.417,41.70000000000002
34,betmgm,MLB,Joey Bart,PIT vs PHI,under 0.5 RBI,-275,12.9,1.364,36.400000000000006
35,draftkings,MLB,Jose Altuve,HOU vs TEX,under 0.5 RBI,-310,10.9,1.323,32.29999999999998
36,betmgm,MLB,Jose Tena,WSH vs BAL,over 0.5 RBI,165,60.6,2.65,165.0
37,draftkings,MLB,Juan Soto,NYM vs NYY,under 0.5 RBI,-215,10.5,1.465,46.5
38,fanduel,MLB,Justyn-Henry Malloy,DET vs TOR,over 0.5 RBI,220,85.1,3.2,220.0
39,fanduel,MLB,Ketel Marte,ARI vs COL,over 0.5 RBI,105,36.3,2.05,104.99999999999997
40,espnbet,MLB,Kody Clemens,MIN vs MIL,over 0.5 RBI,200,59.4,3.0,200.0
41,betmgm,MLB,Lawrence Butler,ATH vs SFG,under 0.5 RBI,-275,12.7,1.364,36.400000000000006
42,betrivers,MLB,Max Kepler,PHI vs PIT,over 0.5 RBI,155,11.1,2.55,154.99999999999997
43,hardrockbet,MLB,Michael A. Taylor,CHW vs CHC,over 0.5 RBI,300,97.0,4.0,300.0
44,espnbet,MLB,Pedro Pages,STL vs KCR,under 0.5 RBI,-275,15.0,1.364,36.400000000000006
45,hardrockbet,MLB,Randy Arozarena,SEA vs SDP,under 0.5 RBI,-260,12.7,1.385,38.5
46,fanatics,MLB,Riley Greene,DET vs TOR,over 0.5 RBI,150,49.4,2.5,150.0
47,hardrockbet,MLB,Salvador Perez,KCR vs STL,under 0.5 RBI,-190,16.7,1.526,52.599999999999994
48,espnbet,MLB,Shea Langeliers,ATH vs SFG,under 0.5 RBI,-220,13.5,1.455,45.5
49,betrivers,MLB,Spencer Steer,CIN vs CLE,over 0.5 RBI,180,59.2,2.8,180.0
50,draftkings,MLB,Steven Kwan,CLE vs CIN,under 0.5 RBI,-290,11.3,1.345,34.5
51,draftkings,MLB,TJ Friedl,CIN vs CLE,over 0.5 RBI,215,13.0,3.15,215.0
52,espnbet,MLB,Trent Grisham,NYY vs NYM,under 0.5 RBI,-240,17.5,1.417,41.70000000000002
53,hardrockbet,MLB,Victor Caratini,HOU vs TEX,under 0.5 RBI,-325,12.2,1.308,30.80000000000001
54,hardrockbet,MLB,Victor Scott II,STL vs KCR,under 0.5 RBI,-400,11.3,1.25,25.0
55,espnbet,MLB,Willson Contreras,STL vs KCR,under 0.5 RBI,-240,10.3,1.417,41.70000000000002
56,hardrockbet,MLB,Wilyer Abreu,BOS vs ATL,under 0.5 RBI,-165,20.8,1.606,60.60000000000002
