,player,1_RBI_count_over,2_RBI_count_over,3_RBI_count_over,4_RBI_count_over,games_played_over,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over,1_RBI_count_under,2_RBI_count_under,3_RBI_count_under,4_RBI_count_under,games_played_under,1_RBI_rate_under,2_RBI_rate_under,3_RBI_rate_under,4_RBI_rate_under
0,Aaron Judge,27,14,8,2,57,0.47368421052631576,0.24561403508771928,0.14035087719298245,0.03508771929824561,24,10,8,2,59,0.4067796610169492,0.1694915254237288,0.13559322033898305,0.03389830508474576
1,Adam Frazier,10,1,0,0,44,0.22727272727272727,0.022727272727272728,0.0,0.0,7,2,0,0,39,0.1794871794871795,0.05128205128205128,0.0,0.0
2,Adley Rutschman,11,4,1,0,46,0.2391304347826087,0.08695652173913043,0.021739130434782608,0.0,9,3,1,0,53,0.16981132075471697,0.05660377358490566,0.018867924528301886,0.0
3,Adolis Garcia,27,12,5,0,65,0.4153846153846154,0.18461538461538463,0.07692307692307693,0.0,10,3,1,0,49,0.20408163265306123,0.061224489795918366,0.02040816326530612,0.0
4,Alec Burleson,14,4,1,0,42,0.3333333333333333,0.09523809523809523,0.023809523809523808,0.0,19,10,3,0,64,0.296875,0.15625,0.046875,0.0
5,Alejandro Kirk,17,8,2,0,45,0.37777777777777777,0.17777777777777778,0.044444444444444446,0.0,15,4,1,0,40,0.375,0.1,0.025,0.0
6,Alex Bregman,23,10,6,0,53,0.4339622641509434,0.18867924528301888,0.11320754716981132,0.0,16,5,4,2,50,0.32,0.1,0.08,0.04
7,Alex Verdugo,13,4,0,0,46,0.2826086956521739,0.08695652173913043,0.0,0.0,7,1,0,0,36,0.19444444444444445,0.027777777777777776,0.0,0.0
8,Andres Gimenez,14,4,0,0,47,0.2978723404255319,0.0851063829787234,0.0,0.0,10,4,1,0,62,0.16129032258064516,0.06451612903225806,0.016129032258064516,0.0
9,Andrew Benintendi,17,5,3,1,39,0.4358974358974359,0.1282051282051282,0.07692307692307693,0.02564102564102564,15,5,1,0,50,0.3,0.1,0.02,0.0
10,Andrew McCutchen,11,3,2,0,32,0.34375,0.09375,0.0625,0.0,15,4,3,1,50,0.3,0.08,0.06,0.02
11,Andy Ibanez,8,5,1,0,38,0.21052631578947367,0.13157894736842105,0.02631578947368421,0.0,7,3,1,0,46,0.15217391304347827,0.06521739130434782,0.021739130434782608,0.0
12,Andy Pages,16,6,4,1,42,0.38095238095238093,0.14285714285714285,0.09523809523809523,0.023809523809523808,9,4,0,0,42,0.21428571428571427,0.09523809523809523,0.0,0.0
13,Anthony Santander,22,11,4,1,49,0.4489795918367347,0.22448979591836735,0.08163265306122448,0.02040816326530612,15,4,2,1,57,0.2631578947368421,0.07017543859649122,0.03508771929824561,0.017543859649122806
