,player,1_hits_count_over,2_hits_count_over,3_hits_count_over,4_hits_count_over,games_played_over,1_hits_rate_over,2_hits_rate_over,3_hits_rate_over,4_hits_rate_over,1_hits_count_under,2_hits_count_under,3_hits_count_under,4_hits_count_under,games_played_under,1_hits_rate_under,2_hits_rate_under,3_hits_rate_under,4_hits_rate_under
0,Aaron Judge,42,25,9,4,54,0.7777777777777778,0.46296296296296297,0.16666666666666666,0.07407407407407407,42,19,3,0,62,0.6774193548387096,0.3064516129032258,0.04838709677419355,0.0
1,Adam Frazier,24,4,1,0,48,0.5,0.08333333333333333,0.020833333333333332,0.0,13,3,0,0,35,0.37142857142857144,0.08571428571428572,0.0,0.0
2,Addison Barger,24,6,1,0,41,0.5853658536585366,0.14634146341463414,0.024390243902439025,0.0,11,4,0,0,36,0.3055555555555556,0.1111111111111111,0.0,0.0
3,Adley Rutschman,27,6,1,0,45,0.6,0.13333333333333333,0.022222222222222223,0.0,25,8,1,0,54,0.46296296296296297,0.14814814814814814,0.018518518518518517,0.0
4,Adolis Garcia,41,15,5,0,69,0.5942028985507246,0.21739130434782608,0.07246376811594203,0.0,21,5,2,0,45,0.4666666666666667,0.1111111111111111,0.044444444444444446,0.0
5,Alec Bohm,23,10,0,0,31,0.7419354838709677,0.3225806451612903,0.0,0.0,36,10,4,1,54,0.6666666666666666,0.18518518518518517,0.07407407407407407,0.018518518518518517
6,Alejandro Kirk,35,15,5,1,47,0.7446808510638298,0.3191489361702128,0.10638297872340426,0.02127659574468085,23,8,2,0,38,0.6052631578947368,0.21052631578947367,0.05263157894736842,0.0
7,Alex Bregman,47,25,5,1,60,0.7833333333333333,0.4166666666666667,0.08333333333333333,0.016666666666666666,24,11,4,1,43,0.5581395348837209,0.2558139534883721,0.09302325581395349,0.023255813953488372
8,Alex Verdugo,31,10,2,1,43,0.7209302325581395,0.23255813953488372,0.046511627906976744,0.023255813953488372,19,4,2,1,39,0.48717948717948717,0.10256410256410256,0.05128205128205128,0.02564102564102564
9,Andres Gimenez,34,17,6,0,51,0.6666666666666666,0.3333333333333333,0.11764705882352941,0.0,31,4,2,0,58,0.5344827586206896,0.06896551724137931,0.034482758620689655,0.0
10,Andy Ibanez,14,4,0,0,40,0.35,0.1,0.0,0.0,13,2,0,0,44,0.29545454545454547,0.045454545454545456,0.0,0.0
11,Andy Pages,31,11,1,0,49,0.6326530612244898,0.22448979591836735,0.02040816326530612,0.0,20,6,3,1,35,0.5714285714285714,0.17142857142857143,0.08571428571428572,0.02857142857142857
12,Anthony Santander,41,15,1,0,53,0.7735849056603774,0.2830188679245283,0.018867924528301886,0.0,29,7,0,0,53,0.5471698113207547,0.1320754716981132,0.0,0.0
13,Anthony Volpe,33,12,1,0,53,0.6226415094339622,0.22641509433962265,0.018867924528301886,0.0,36,8,1,0,62,0.5806451612903226,0.12903225806451613,0.016129032258064516,0.0
14,Austin Wells,28,13,2,0,44,0.6363636363636364,0.29545454545454547,0.045454545454545456,0.0,27,4,1,0,53,0.5094339622641509,0.07547169811320754,0.018867924528301886,0.0
15,Bo Naylor,19,5,0,0,38,0.5,0.13157894736842105,0.0,0.0,22,2,1,0,56,0.39285714285714285,0.03571428571428571,0.017857142857142856,0.0
16,Brandon Lowe,30,8,2,1,44,0.6818181818181818,0.18181818181818182,0.045454545454545456,0.022727272727272728,37,13,5,0,59,0.6271186440677966,0.22033898305084745,0.0847457627118644,0.0
17,Brandon Nimmo,46,12,4,0,73,0.6301369863013698,0.1643835616438356,0.0547945205479452,0.0,17,0,0,0,35,0.4857142857142857,0.0,0.0,0.0
18,Brayan Rocchio,18,6,0,0,43,0.4186046511627907,0.13953488372093023,0.0,0.0,21,4,1,0,61,0.3442622950819672,0.06557377049180328,0.01639344262295082,0.0
19,Brendan Rodgers,20,5,1,1,32,0.625,0.15625,0.03125,0.03125,35,16,4,0,64,0.546875,0.25,0.0625,0.0
20,Brent Rooker,45,27,8,1,57,0.7894736842105263,0.47368421052631576,0.14035087719298245,0.017543859649122806,38,15,2,0,59,0.6440677966101694,0.2542372881355932,0.03389830508474576,0.0
21,Brooks Lee,19,5,0,0,33,0.5757575757575758,0.15151515151515152,0.0,0.0,24,9,3,0,43,0.5581395348837209,0.20930232558139536,0.06976744186046512,0.0
22,Bryan Reynolds,31,14,4,0,41,0.7560975609756098,0.34146341463414637,0.0975609756097561,0.0,39,16,4,2,67,0.582089552238806,0.23880597014925373,0.05970149253731343,0.029850746268656716
23,Byron Buxton,24,12,0,0,35,0.6857142857142857,0.34285714285714286,0.0,0.0,28,16,2,0,42,0.6666666666666666,0.38095238095238093,0.047619047619047616,0.0
