,player,1_hits_count,2_hits_count,3_hits_count,4_hits_count,games_played
0,A.J. Puk,0,0,0,0,1
1,Aaron Judge,42,25,9,4,54
2,Aaron Schunk,7,6,0,0,14
3,Abraham Toro,3,0,0,0,12
4,Adam Duvall,6,4,3,0,23
5,Adam Frazier,24,4,1,0,48
6,Addison Barger,24,6,1,0,41
7,Adley Rutschman,27,6,1,0,45
8,Adolis Garcia,41,15,5,0,69
9,Adrian Del Castillo,9,5,2,0,13
10,Agustin Ramirez,7,3,0,0,12
11,Akil Baddoo,4,0,0,0,5
12,Alan Roden,4,1,0,0,15
13,Alec Bohm,23,10,0,0,31
14,Alec Burleson,21,7,1,0,33
15,Aledmys Diaz,0,0,0,0,1
16,Alejandro Kirk,35,15,5,1,47
17,Alek Thomas,13,3,1,0,25
18,Alex Bregman,47,25,5,1,60
19,Alex Call,24,12,1,0,33
20,Alex Jackson,3,2,0,0,9
21,Alex Verdugo,31,10,2,1,43
22,Alexander Canario,3,0,0,0,10
23,Ali Sanchez,3,1,1,0,6
24,Alika Williams,0,0,0,0,4
25,Amed Rosario,12,3,2,0,23
26,Andre Pallante,0,0,0,0,1
27,Andres Chaparro,10,2,1,0,15
28,Andres Gimenez,34,17,6,0,51
29,Andrew Benintendi,18,9,2,0,36
30,Andrew Knizner,2,1,0,0,3
31,Andrew McCutchen,24,5,0,0,36
32,Andrew Vaughn,30,7,3,0,52
33,Andruw Monasterio,4,2,0,0,17
34,Andy Ibanez,14,4,0,0,40
35,Andy Pages,31,11,1,0,49
36,Angel Chivilli,0,0,0,0,1
37,Angel Martinez,16,8,2,0,27
38,Anthony Rendon,4,0,0,0,11
39,Anthony Rizzo,4,2,0,0,8
40,Anthony Santander,41,15,1,0,53
41,Anthony Volpe,33,12,1,0,53
42,Armando Alvarez,2,0,0,0,5
43,Austin Barnes,14,6,2,0,23
44,Austin Hays,11,8,1,1,19
45,Austin Hedges,4,0,0,0,19
46,Austin Martin,8,3,0,0,17
47,Austin Riley,28,16,3,0,40
48,Austin Shenton,1,0,0,0,1
49,Austin Slater,7,1,1,0,20
50,Austin Wells,28,13,2,0,44
51,Austin Wynns,5,2,2,1,9
52,Ben Gamel,6,1,1,0,14
53,Ben Rice,16,5,2,0,35
54,Ben Rortvedt,8,2,0,0,29
55,Ben Williamson,11,4,1,0,16
56,Billy Cook,1,1,0,0,5
57,Billy McKinney,1,1,0,0,1
58,Blaine Crim,0,0,0,0,4
59,Blake Dunn,5,1,0,0,13
60,Blake Perkins,13,4,0,0,28
61,Blake Sabol,1,0,0,0,7
62,Blaze Alexander,0,0,0,0,1
63,Bligh Madris,2,1,0,0,7
64,Bo Bichette,22,13,3,1,30
65,Bo Naylor,19,5,0,0,38
66,Bobby Dalbec,1,0,0,0,2
67,Bobby Witt Jr.,54,26,10,2,65
68,Brandon Crawford,2,1,0,0,3
69,Brandon Drury,12,2,0,0,22
70,Brandon Lockridge,8,0,0,0,22
71,Brandon Lowe,30,8,2,1,44
72,Brandon Marsh,10,3,1,0,27
73,Brandon Nimmo,46,12,4,0,73
74,Brayan Rocchio,18,6,0,0,43
75,Brendan Donovan,22,9,5,1,34
76,Brendan Rodgers,20,5,1,1,32
77,Brent Rooker,45,27,8,1,57
78,Brenton Doyle,20,7,3,0,29
79,Brett Baty,10,3,0,0,20
80,Brett Harris,5,1,0,0,13
81,Brett Sullivan,0,0,0,0,1
82,Brett Wisely,11,5,1,0,28
83,Brewer Hicklen,1,1,0,0,3
84,Brian Serven,3,1,0,0,8
85,Brice Turang,36,11,4,0,60
86,Brooks Baldwin,18,4,1,0,33
87,Brooks Lee,19,5,0,0,33
88,Bryan De La Cruz,15,4,0,0,25
89,Bryan King,0,0,0,0,1
90,Bryan Ramos,3,0,0,0,6
91,Bryan Reynolds,31,14,4,0,41
92,Bryce Harper,21,8,3,0,33
93,Bryce Johnson,5,1,0,0,23
