player,1_runs_count,2_runs_count,3_runs_count,4_runs_count,games_played,1_runs_rate,2_runs_rate,3_runs_rate,4_runs_rate
A.J. Puk,0,0,0,0,2,0.0,0.0,0.0,0.0
Aaron Judge,27,9,3,2,45,0.6,0.2,0.06666666666666667,0.044444444444444446
Aaron Schunk,1,0,0,0,7,0.14285714285714285,0.0,0.0,0.0
Abraham Toro,1,0,0,0,8,0.125,0.0,0.0,0.0
Adael Amador,2,0,0,0,24,0.08333333333333333,0.0,0.0,0.0
Adam Frazier,10,1,0,0,43,0.23255813953488372,0.023255813953488372,0.0,0.0
Addison Barger,5,1,0,0,22,0.22727272727272727,0.045454545454545456,0.0,0.0
Adley Rutschman,14,1,1,0,39,0.358974358974359,0.02564102564102564,0.02564102564102564,0.0
Adolis Garcia,11,2,0,0,44,0.25,0.045454545454545456,0.0,0.0
Agustin Ramirez,6,1,0,0,22,0.2727272727272727,0.045454545454545456,0.0,0.0
Akil Baddoo,0,0,0,0,2,0.0,0.0,0.0,0.0
Alan Roden,5,2,0,0,28,0.17857142857142858,0.07142857142857142,0.0,0.0
Alan Trejo,3,0,0,0,13,0.23076923076923078,0.0,0.0,0.0
Alec Bohm,14,1,0,0,40,0.35,0.025,0.0,0.0
Alec Burleson,11,1,0,0,38,0.2894736842105263,0.02631578947368421,0.0,0.0
Alejandro Kirk,6,0,0,0,33,0.18181818181818182,0.0,0.0,0.0
Alek Thomas,9,2,0,0,37,0.24324324324324326,0.05405405405405406,0.0,0.0
Alex Bregman,22,7,1,0,45,0.4888888888888889,0.15555555555555556,0.022222222222222223,0.0
Alex Call,14,1,0,0,30,0.4666666666666667,0.03333333333333333,0.0,0.0
Alex Verdugo,11,4,0,0,24,0.4583333333333333,0.16666666666666666,0.0,0.0
Alexander Canario,6,1,0,0,23,0.2608695652173913,0.043478260869565216,0.0,0.0
Amed Rosario,9,1,1,0,22,0.4090909090909091,0.045454545454545456,0.045454545454545456,0.0
Andre Pallante,0,0,0,0,1,0.0,0.0,0.0,0.0
Andres Gimenez,13,3,1,0,36,0.3611111111111111,0.08333333333333333,0.027777777777777776,0.0
Andrew Benintendi,11,2,0,0,24,0.4583333333333333,0.08333333333333333,0.0,0.0
Andrew McCutchen,8,2,0,0,39,0.20512820512820512,0.05128205128205128,0.0,0.0
Andrew Vaughn,9,0,0,0,42,0.21428571428571427,0.0,0.0,0.0
Andruw Monasterio,0,0,0,0,3,0.0,0.0,0.0,0.0
Andy Ibanez,7,1,0,0,31,0.22580645161290322,0.03225806451612903,0.0,0.0
Andy Pages,15,4,0,0,39,0.38461538461538464,0.10256410256410256,0.0,0.0
Angel Chivilli,0,0,0,0,1,0.0,0.0,0.0,0.0
Angel Martinez,9,2,0,0,31,0.2903225806451613,0.06451612903225806,0.0,0.0
Anthony Santander,12,0,0,0,39,0.3076923076923077,0.0,0.0,0.0
