away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
F. LindorSS,3,0,0,0,0,1,1,.279,.347,.463,J. DuranLF,4,1,2,1,0,0,0,.268,.316,.421
J. SotoRF,4,0,1,0,0,0,0,.246,.376,.439,R. DeversDH,2,1,0,0,0,2,0,.286,.405,.511
P. Alonso1B,3,0,1,0,0,1,1,.301,.408,.557,A. Bregman3B,3,0,1,1,0,1,0,.303,.386,.569
B. NimmoLF,4,0,0,0,0,0,1,.220,.283,.410,W. AbreuRF,4,0,1,0,0,0,0,.264,.354,.522
M. VientosDH,4,0,0,0,0,0,1,.235,.296,.377,T. StorySS,4,0,1,1,0,0,1,.231,.275,.341
B. Baty3B,3,0,0,0,0,0,1,.217,.244,.458,N. Sogard1B,4,0,0,0,0,0,1,.240,.269,.280
aS. MartePH,1,0,1,0,0,0,0,.211,.315,.329,D. Hamilton2B,4,0,1,0,0,0,1,.226,.262,.355
F. AlvarezC,4,1,2,0,0,0,1,.267,.353,.350,C. NarvaezC,3,1,2,0,0,1,0,.278,.346,.443
J. McNeil2B,2,0,1,0,0,1,0,.255,.381,.471,C. RafaelaCF,4,0,0,0,0,0,2,.240,.290,.360
T. TaylorCF,3,0,2,1,0,0,1,.244,.295,.366,team,32,3,8,3,0,4,5,,,
team,31,1,8,1,0,3,7,,,,,,,,,,,,,,
J. Holliday2B,5,0,1,0,0,0,2,.273,.333,.441,B. Turang2B,4,2,2,2,0,1,2,.293,.372,.371
R. Mountcastle1B,4,0,0,0,0,0,2,.226,.261,.329,W. ContrerasC,4,0,4,2,0,1,0,.258,.370,.371
G. HendersonSS,3,0,0,0,0,1,1,.253,.302,.462,J. ChourioCF,5,0,0,0,0,0,1,.236,.254,.419
R. LaureanoRF,4,1,3,1,1,0,0,.272,.327,.543,C. YelichDH,4,0,0,0,0,0,1,.194,.289,.341
R. O'HearnDH,3,1,0,0,0,1,2,.294,.386,.500,R. Hoskins1B,2,1,1,0,0,2,0,.291,.400,.454
R. Urias3B,4,1,1,0,0,0,1,.267,.333,.372,J. OrtizPR-SS,0,0,0,0,0,0,0,.170,.223,.218
C. MullinsCF,3,1,1,3,1,1,0,.229,.331,.471,I. CollinsLF,4,1,1,0,0,0,1,.236,.321,.333
D. CarlsonLF,3,0,0,0,0,1,0,.000,.095,.000,S. FrelickRF,4,0,2,0,0,0,0,.279,.351,.390
M. HandleyC,3,0,0,0,0,0,1,.059,.105,.059,A. MonasterioSS-1B,3,0,0,0,0,0,2,.000,.250,.000
aA. RutschmanPH,1,0,0,0,0,0,0,.208,.299,.338,aJ. BauersPH-1B,1,0,0,0,0,0,0,.273,.360,.470
team,33,4,6,4,2,4,9,,,,C. Durbin3B,3,1,1,1,0,1,0,.174,.273,.244
,,,,,,,,,,,team,34,5,11,5,0,5,7,,,
Z. NetoSS,4,1,1,0,0,0,1,.282,.333,.545,L. ButlerRF,4,1,1,0,0,1,0,.228,.294,.389
N. Schanuel1B,4,2,3,1,1,0,0,.277,.365,.406,J. WilsonSS,3,1,2,0,0,1,0,.343,.380,.481
Y. Moncada3B,3,0,0,1,0,0,1,.215,.346,.446,M. SchuemannPR,0,0,0,0,0,0,0,.263,.349,.447
T. WardLF,4,1,1,2,1,0,2,.198,.246,.458,T. SoderstromLF,4,1,1,0,0,0,2,.272,.332,.489
J. SolerDH,4,0,0,0,0,0,2,.213,.289,.375,B. RookerDH,2,0,1,1,0,2,0,.241,.310,.445
L. O'HoppeC,4,0,2,0,0,0,1,.259,.293,.482,S. LangeliersC,4,0,1,1,0,0,1,.250,.316,.442
M. LugoCF,4,0,0,0,0,0,4,.310,.333,.759,N. Kurtz1B,4,0,0,0,0,0,1,.208,.259,.299
L. Rengifo2B,4,0,1,0,0,0,2,.219,.258,.288,L. Urias2B,3,0,0,0,0,0,0,.265,.342,.461
J. AdellRF,3,0,0,0,0,0,0,.193,.244,.361,J. BledayCF,3,0,1,0,0,1,1,.208,.298,.377
team,34,4,8,4,2,0,13,,,,G. Urshela3B,3,0,0,0,0,0,1,.219,.265,.333
,,,,,,,,,,,aS. BrownPH,1,0,0,0,0,0,0,.191,.309,.298
