Team,Rank
New York Yankees,1
Houston Astros,2
San Diego Padres,3
Cincinnati Reds,4
Texas Rangers,5
New York Mets,6
Detroit Tigers,7
Minnesota Twins,8
Kansas City Royals,9
Atlanta Braves,10
San Francisco Giants,11
St. Louis Cardinals,12
Milwaukee Brewers,13
Tampa Bay Rays,14
Toronto Blue Jays,15
Los Angeles Dodgers,16
Philadelphia Phillies,17
Pittsburgh Pirates,18
Seattle Mariners,19
Chicago Cubs,20
Arizona Diamondbacks,21
Chicago White Sox,22
Boston Red Sox,23
Cleveland Guardians,24
Miami Marlins,25
Los Angeles Angels,26
Athletics,27
Washington Nationals,28
Baltimore Orioles,29
Colorado Rockies,30
