Team,Rank
Philadelphia Phillies,1
New York Yankees,2
Houston Astros,3
Los Angeles Dodgers,4
Toronto Blue Jays,5
Minnesota Twins,6
New York Mets,7
San Diego Padres,8
Detroit Tigers,9
San Francisco Giants,10
Arizona Diamondbacks,11
Cleveland Guardians,12
Atlanta Braves,13
Cincinnati Reds,14
Washington Nationals,15
Boston Red Sox,16
Athletics,17
Seattle Mariners,18
Chicago Cubs,19
Kansas City Royals,20
Milwaukee Brewers,21
Miami Marlins,22
Texas Rangers,23
Baltimore Orioles,24
Los Angeles Angels,25
Tampa Bay Rays,26
Pittsburgh Pirates,27
Chicago White Sox,28
St. Louis Cardinals,29
Colorado Rockies,30
