,Team,Rank
0,New York Mets,1
1,Kansas City Royals,2
2,Minnesota Twins,3
3,Detroit Tigers,4
4,Texas Rangers,5
5,San Diego Padres,6
6,Houston Astros,7
7,San Francisco Giants,8
8,New York Yankees,9
9,Atlanta Braves,10
10,Cincinnati Reds,11
11,St. Louis Cardinals,12
12,Seattle Mariners,13
13,Philadelphia Phillies,14
14,Tampa Bay Rays,15
15,Los Angeles Dodgers,16
16,Boston Red Sox,17
17,Chicago Cubs,18
19,Pittsburgh Pirates,19
20,Milwaukee Brewers,20
21,Cleveland Guardians,21
22,Chicago White Sox,22
23,Toronto Blue Jays,23
24,Arizona Diamondbacks,24
25,Los Angeles Angels,25
26,Athletics,26
27,Washington Nationals,27
28,Baltimore Orioles,28
29,Miami Marlins,29
30,Colorado Rockies,30
