,Team,Rank
0,Philadelphia Phillies,1
1,Houston Astros,2
2,New York Yankees,3
3,Los Angeles Dodgers,4
4,Toronto Blue Jays,5
5,Minnesota Twins,6
6,New York Mets,7
7,San Francisco Giants,8
8,San Diego Padres,9
9,Detroit Tigers,10
10,Arizona Diamondbacks,11
11,Atlanta Braves,12
12,Cincinnati Reds,13
13,Cleveland Guardians,14
14,Washington Nationals,15
16,Boston Red Sox,16
17,Kansas City Royals,17
18,Seattle Mariners,18
19,Texas Rangers,19
20,Athletics,20
21,Milwaukee Brewers,21
22,Chicago Cubs,22
23,Miami Marlins,23
24,Tampa Bay Rays,24
25,Baltimore Orioles,25
26,Los Angeles Angels,26
27,Chicago White Sox,27
28,Pittsburgh Pirates,28
29,St. Louis Cardinals,29
30,Colorado Rockies,30
