away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
F. LindorSS,1,1,0,0,0,1,0,.293,.361,.486,B. RiceDH,2,0,1,0,0,0,0,.257,.357,.544
J. SotoRF,2,1,1,0,0,0,1,.255,.387,.460,A. JudgeRF,2,0,0,0,0,0,1,.409,.495,.766
P. Alonso1B,2,0,1,1,0,0,0,.305,.413,.569,C. BellingerCF,2,0,0,0,0,0,1,.238,.304,.397
B. NimmoLF,2,0,0,0,0,0,1,.230,.287,.430,P. Goldschmidt1B,2,0,0,0,0,0,1,.345,.393,.500
M. VientosDH,1,0,0,1,0,0,1,.243,.308,.395,J. DominguezLF,2,0,1,0,0,0,0,.240,.336,.426
J. McNeil2B,1,0,0,0,0,1,0,.239,.345,.478,A. VolpeSS,1,0,0,0,0,0,0,.234,.326,.424
L. TorrensC,1,0,0,0,0,1,0,.244,.314,.410,J.C. EscarraC,1,0,0,0,0,0,0,.194,.302,.361
B. Baty3B,2,0,0,0,0,0,1,.224,.253,.487,D. LeMahieu2B,1,1,1,1,1,0,0,.400,.500,1.000
T. TaylorCF,1,0,0,0,0,0,0,.229,.278,.347,J. Vivas3B,1,0,0,0,0,0,0,.179,.281,.214
team,13,2,2,2,0,3,4,,,,team,14,1,3,1,1,0,3,,,
J. ChourioLF-RF,5,0,0,0,0,0,5,.000,.000,.000,A. WellsC,3,1,1,1,1,1,1,.333,.500,1.333
C. YelichDH,4,0,0,0,0,1,2,.000,.200,.000,A. JudgeRF,4,0,1,1,0,0,2,.250,.250,.500
W. ContrerasC,4,0,0,0,0,0,1,.000,.000,.000,C. BellingerCF-LF,2,0,1,1,0,1,1,.500,.500,.500
R. Hoskins1B,2,0,0,0,0,2,1,.000,.500,.000,P. Goldschmidt1B,4,0,0,0,0,0,2,.000,.000,.000
S. FrelickRF-CF,4,0,2,0,0,0,1,.500,.500,.500,J. Chisholm Jr.2B,3,0,0,0,0,1,2,.000,.250,.000
J. OrtizSS,4,1,2,0,0,0,0,.500,.500,.500,J. DominguezLF,3,0,0,0,0,0,0,.000,.000,.000
G. MitchellCF,2,0,0,0,0,0,0,.000,.000,.000,T. GrishamCF,1,0,1,0,0,0,0,1.000,1.000,1.000
aI. CollinsPH-LF,2,0,1,0,0,0,0,.500,.500,1.000,A. VolpeSS,4,1,1,1,1,0,1,.250,.250,1.000
V. Capra3B,3,1,1,1,1,0,1,.333,.333,1.333,B. RiceDH,2,1,1,0,0,1,1,.500,.667,.500
bJ. BauersPH,0,0,0,0,0,1,0,.000,1.000,.000,O. Cabrera3B,3,1,1,0,0,0,0,.333,.333,.333
B. Turang2B,3,0,1,1,0,0,2,.333,.250,.333,team,29,4,7,4,2,4,10,,,
team,33,2,7,2,1,4,13,,,,,,,,,,,,,,
C. CowserLF,3,1,0,0,0,1,1,.000,.400,.000,B. BichetteSS,4,0,0,0,0,0,0,.000,.000,.000
A. RutschmanC,5,3,3,3,2,0,1,.600,.600,1.800,V. Guerrero Jr.1B,2,1,0,0,0,2,1,.000,.500,.000
J. Westburg2B,4,1,2,1,1,1,1,.500,.600,1.250,A. SantanderLF,4,0,0,0,0,0,0,.000,.000,.000
J. MateoSS,0,0,0,0,0,0,0,.000,.000,.000,A. Gimenez2B,3,1,1,2,1,1,0,.333,.500,1.333
R. O'HearnDH,5,0,1,0,0,0,0,.200,.200,.200,A. KirkC,4,0,1,0,0,0,0,.250,.250,.250
T. O'NeillRF,3,3,3,3,1,2,0,1.000,1.000,2.000,G. SpringerCF,3,0,0,0,0,1,2,.000,.250,.000
H. KjerstadRF,0,0,0,0,0,0,0,.000,.000,.000,W. WagnerDH,3,0,1,0,0,0,0,.333,.333,.333
R. Mountcastle1B,5,1,1,0,0,0,2,.200,.200,.400,E. Clement3B,3,0,0,0,0,0,0,.000,.000,.000
C. MullinsCF,5,2,3,5,2,0,0,.600,.600,1.800,A. RodenRF,2,0,1,0,0,1,0,.500,.667,.500
R. Urias3B,4,0,0,0,0,1,1,.000,.200,.000,team,28,2,4,2,1,5,3,,,
J. HollidaySS-2B,5,1,1,0,0,0,2,.200,.200,.200,,,,,,,,,,,
team,39,12,14,12,6,5,8,,,,,,,,,,,,,,
T. TurnerSS,4,0,0,0,0,1,1,.000,.200,.000,C. AbramsSS,5,0,0,1,0,0,2,.000,.000,.000
B. Harper1B,4,2,1,1,1,1,2,.250,.400,1.000,J. WoodLF,3,0,0,0,0,1,1,.000,.250,.000
A. Bohm3B,5,1,2,2,0,0,2,.400,.400,.600,L. Garcia Jr.2B,4,0,2,1,0,0,1,.500,.500,.750
K. SchwarberDH,4,2,2,1,1,1,1,.500,.600,1.250,J. BellDH,4,0,0,0,0,0,1,.000,.000,.000
J.T. RealmutoC,5,0,1,2,0,0,4,.200,.200,.600,N. Lowe1B,4,0,1,0,0,0,3,.250,.250,.250
M. KeplerLF,3,1,1,0,0,2,2,.333,.600,.667,P. DeJong3B,4,0,0,0,0,0,4,.000,.000,.000
N. CastellanosRF,4,0,1,0,0,1,1,.250,.400,.250,K. RuizC,4,1,2,1,1,0,0,.500,.500,1.250
B. Stott2B,4,1,0,0,0,0,2,.000,.000,.000,D. CrewsRF,3,1,0,0,0,1,0,.000,.250,.000
